species,CXD_0801_FDSW210423161-1r,CXD_0802_FDSW210423162-1r,CXD_0803_FDSW210423163-1r,CXD_0804_FDSW210423164-1r,CXD_0805_FDSW210423165-1r,CXD_0807_FDSW210423167-1r,CXD_1001_FDSW210423173-1r,CXD_1003_FDSW210423175-1r,CXD_1004_FDSW210423176-1r,CXD_1007_FDSW210423179-1r,CXD_1009_FDSW210423181-1r,CXD_1015_FDSW210423187-1r,CXD_1201_FDSW210423188-1r,CXD_1202_FDSW210423189-1r,CXD_1203_FDSW210423190-1r,CXD_1213_FDSW210423200-1r,CXD_1214_FDSW210423201-1r,CXD_1215_FDSW210423202-1r,CXD_0204_FDSW210423206-1r,CXD_0209_FDSW210423211-1r,CXD_0210_FDSW210423212-1r,CXD_0213_FDSW210423215-1r,CXD_0214_FDSW210423216-1r,CXD_0215_FDSW210423217-1r,CXD_1401_FDSW210423218-1r,CXD_1402_FDSW210423219-1r,CXD_1408_FDSW210423225-1r,CXD_1412_FDSW210423229-1r,CXD_1414_FDSW210423231-1r,CXD_1415_FDSW210423232-1r,CXD_1604_FDSW210423236-1r,CXD_1609_FDSW210423241-1r,CXD_1610_FDSW210423242-1r,CXD_1611_FDSW210423243-1r,CXD_1612_FDSW210423244-1r,CXD_1613_FDSW210423245-1r
Abra nitida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.9296777,0,0,0,0,0,0,0
Acartia pacifica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.62403135
Achnanthidium sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.84386173,0,0,0,0,0,0,0,0,0,0,0,0,0
Acoelopelophila lutheri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.4807232
Alaria nana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.451549108,0
Alexandrium ostenfeldii,0,0,0,0,0,0,0,0,0,0,0,0,0,1.474762248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexandrium pseudogonyaulax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.725859143,0,0,0,0,0,0
Alexandrium tamarense,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.050803651,0,0,0,0,0,0,8.039311381,0,0
Alitta succinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,344.8996792,265.2544972,0,0,0,0,0,0
Amaranthus hypochondriacus,0,0,0,0,0,0,0,0,0,0,0,0,0,7.373811238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amphiprora alata,0,0,0,0,0,0,0,0,0,0,0,18.56549796,0,0,12.41766154,15.20007239,0,20.21637043,0,0,0,12.0475978,22.19649242,16.44155487,0,0,0,0,0,0,0,0,0,0,0,0
Amphiprora paludosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.17086175,102.4045813,0,101.3895883,0,0,0,0,0,0,0,0,0,0,0,0
Amphora caribaea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.13089396,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amphora coffeiformis,0,0,0,0,0,0,53.9795391,136.398931,0,0,0,0,50.63598214,41.29334293,0,0,0,0,0,0,0,39.15469286,97.10965432,43.84414631,0,0,0,0,0,0,0,0,0,0,0,0
Amphora obtusa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.40296323,0,0,0,0,0,0,0,0,0,0
Anomoeoneis sphaerophora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.31040421,0,0,0,0,0,0,0,0,0,0,0
Apteryx australis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.927580598
Aspergillus fumigatus,0,0,0,0,0,0,0,1.099991379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asterionella glacialis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.80010858,51.82661843,0,0,0,0,0,0,0,0,9.120888969,0,0,0,0,0,0,0,0,0,0
Attheya longicornis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.08543087,42.16659231,92.94781199,24.6623323,0,0,0,0,0,0,0,0,0,0,0,0
Attheya ussurensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.15479606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacillaria paxillifer,0,0,0,0,0,0,0,47.2996293,0,0,0,0,0,0,0,0,0,0,0,0,0,57.22608957,52.71666949,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacillariophyta sp.,46.4914255,0,72.66690465,41.94674517,43.58714392,0,0,0,53.34781615,0,0,0,38.7216334,32.44476945,0,0,0,0,49.65379082,0,0,147.5830731,115.1443044,38.36362802,118.7035255,42.56414852,0,0,0,0,0,0,0,0,0,0
Barantolla lepte,0,0,0,0,0,266.5877976,0,90.19929308,0,0,656.5416948,0,0,0,0,0,51.82661843,0,0,0,0,0,0,0,0,0,0,56.50686992,0,0,0,0,0,0,825.9096899,0
Bellerochea malleus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.3574,0,51.82661843,0,0,0,0,0,24.97105397,0,0,27.36266691,0,0,0,0,0,0,0,0,0,0
Berkeleya sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.95665461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biecheleria cincta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.64736931,0,0,0,12.2032146,0,0,0,0,0,0,0,0,0
Biremis sp. (in: diatoms),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.16754639,0,0,0,0,0,0,0,0,0,0,0,0,0
Blastophysa rhizopus,0,0,0,0,0,0,0,28.59977585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bradypodion sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.81571615,0,0,0,0,0
Campylodiscus sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.38753077,0,17.27553948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Campylodiscus thuretii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.40014477,0,31.76858211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Centropages abdominalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.52207692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.15941926,0,0,0,0
Chorisquilla excavata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.42193086,0,0,0,0,0,0,0,0,0,0,0,0,0
Chromadora sp. 201794557,0,0,0,0,0,0,0,50.59960343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.66044746,0,0,0,0,0,0,0,0,0
Chromadorita leuckarti,0,0,0,0,0,17.38616071,0,48.39962068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cladophora sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.55221168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Climaconeis riddleae,0,0,0,0,0,0,0,0,0,0,0,0,0,29.49524495,0,0,0,0,0,0,0,0,0,0,30.4368014,0,0,0,0,0,0,0,0,0,0,0
Codium cylindricum,0,0,0,0,0,18.83500744,0,20.8998362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Craticula cf. cuspidata KEL-2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.20007239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Craticula cuspidata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.82992267,0,36.60964381,0,0,0,0,0,0,0,0,0
