time,counts,Group
8,20.45,EukRep
8,20.51,EukRep
8,23.85,EukRep
8,20.24,EukRep
8,21.03,EukRep
8,24.27,EukRep
10,23.9,EukRep
10,27.53,EukRep
10,19.79,EukRep
10,28.07,EukRep
10,23.51,EukRep
10,17.66,EukRep
12,26.98,EukRep
12,24.77,EukRep
12,26.97,EukRep
12,22.4,EukRep
12,23.8,EukRep
12,22.15,EukRep
2,23.41,EukRep
2,24.74,EukRep
2,22.3,EukRep
2,27.08,EukRep
2,28.53,EukRep
2,26.46,EukRep
4,29.69,EukRep
4,29.48,EukRep
4,29.35,EukRep
4,19.23,EukRep
4,24.39,EukRep
4,22.38,EukRep
6,24.33,EukRep
6,20.89,EukRep
6,20.06,EukRep
6,19.69,EukRep
6,24.05,EukRep
6,19.61,EukRep
8,34.74,Tiara
8,27.81,Tiara
8,31.89,Tiara
8,27.09,Tiara
8,29.39,Tiara
8,34.54,Tiara
10,35.39,Tiara
10,42.74,Tiara
10,26.21,Tiara
10,36.38,Tiara
10,64.59,Tiara
10,22.93,Tiara
12,39.94,Tiara
12,37.27,Tiara
12,44.64,Tiara
12,32.03,Tiara
12,33.76,Tiara
12,29.68,Tiara
2,35.53,Tiara
2,35.1,Tiara
2,32.66,Tiara
2,42.24,Tiara
2,45.01,Tiara
2,41.12,Tiara
4,51.71,Tiara
4,47.25,Tiara
4,41.36,Tiara
4,28.46,Tiara
4,41.97,Tiara
4,38.04,Tiara
6,38.51,Tiara
6,24.98,Tiara
6,29.82,Tiara
6,28.44,Tiara
6,41.64,Tiara
6,27.39,Tiara
8,42.62,CCMetagen
8,62.62,CCMetagen
8,100,CCMetagen
8,63.85,CCMetagen
8,99.64,CCMetagen
8,96.69,CCMetagen
10,98.16,CCMetagen
10,98.21,CCMetagen
10,89.61,CCMetagen
10,99.75,CCMetagen
10,99.01,CCMetagen
10,96.6,CCMetagen
12,97.66,CCMetagen
12,98.36,CCMetagen
12,96.75,CCMetagen
12,99.51,CCMetagen
12,98.05,CCMetagen
12,99.68,CCMetagen
2,96.29,CCMetagen
2,99.03,CCMetagen
2,99.13,CCMetagen
2,98.51,CCMetagen
2,98.64,CCMetagen
2,98.23,CCMetagen
4,97.5,CCMetagen
4,98.62,CCMetagen
4,99.44,CCMetagen
4,97.29,CCMetagen
4,99.27,CCMetagen
4,98.94,CCMetagen
6,98.47,CCMetagen
6,85.45,CCMetagen
6,96.99,CCMetagen
6,92.7,CCMetagen
6,98.65,CCMetagen
6,94.45,CCMetagen
