time,counts,Group
8,2187699.065,EukRep
8,1879678.677,EukRep
8,1465455.642,EukRep
8,1806700.598,EukRep
8,1407625.019,EukRep
8,1314909.539,EukRep
10,1533444.749,EukRep
10,1445459.071,EukRep
10,1394242.367,EukRep
10,1387273.499,EukRep
10,1593086.853,EukRep
10,1711044.032,EukRep
12,1758851.265,EukRep
12,1718659.903,EukRep
12,2025128.123,EukRep
12,1854068.096,EukRep
12,1875668.665,EukRep
12,1696720.982,EukRep
2,1778273.117,EukRep
2,1683329.281,EukRep
2,1952214.03,EukRep
2,1856149.298,EukRep
2,1766893.513,EukRep
2,1940761.136,EukRep
4,1968927.768,EukRep
4,1760836.26,EukRep
4,1904906.545,EukRep
4,1556822.186,EukRep
4,1641362.925,EukRep
4,1528379.674,EukRep
6,1765051.039,EukRep
6,1737318.507,EukRep
6,1198010.268,EukRep
6,1242468.875,EukRep
6,1208927.353,EukRep
6,1218924.53,EukRep
8,307065.6954,Tiara
8,398213.4596,Tiara
8,305545.139,Tiara
8,384243.2893,Tiara
8,327674.527,Tiara
8,315886.2563,Tiara
10,406386.4595,Tiara
10,489843.7609,Tiara
10,333916.6163,Tiara
10,375745.0581,Tiara
10,504772.1037,Tiara
10,478232.6402,Tiara
12,544858.0607,Tiara
12,494896.2908,Tiara
12,570734.3508,Tiara
12,633718.8846,Tiara
12,638276.4778,Tiara
12,494103.9777,Tiara
2,532621.6101,Tiara
2,485696.0219,Tiara
2,668477.4625,Tiara
2,684071.639,Tiara
2,674219.8444,Tiara
2,728708.8934,Tiara
4,605909.9711,Tiara
4,503343.8585,Tiara
4,634133.9452,Tiara
4,445168.1846,Tiara
4,544664.508,Tiara
4,477331.906,Tiara
6,425045.4514,Tiara
6,421719.4098,Tiara
6,308225.4784,Tiara
6,316123.142,Tiara
6,381224.1034,Tiara
6,317168.2268,Tiara
8,120.5871349,CCMetagen
8,158.5063595,CCMetagen
8,241.3089664,CCMetagen
8,180.1242587,CCMetagen
8,476.7343867,CCMetagen
8,1696.599516,CCMetagen
10,1694.357755,CCMetagen
10,5904.753722,CCMetagen
10,791.7939029,CCMetagen
10,678.8330789,CCMetagen
10,6153.270729,CCMetagen
10,1807.483837,CCMetagen
12,6363.75152,CCMetagen
12,5758.946577,CCMetagen
12,8052.853508,CCMetagen
12,9088.376615,CCMetagen
12,8502.44468,CCMetagen
12,3016.571274,CCMetagen
2,3278.6106,CCMetagen
2,10262.41705,CCMetagen
2,5090.556258,CCMetagen
2,20340.86294,CCMetagen
2,20738.46032,CCMetagen
2,15174.18501,CCMetagen
4,14704.01876,CCMetagen
4,13179.68456,CCMetagen
4,13757.59906,CCMetagen
4,2565.411894,CCMetagen
4,7237.566626,CCMetagen
4,4412.753214,CCMetagen
6,2635.917999,CCMetagen
6,405.1630334,CCMetagen
6,1950.927703,CCMetagen
6,1433.677196,CCMetagen
6,5450.186221,CCMetagen
6,2121.032143,CCMetagen
