species,CXD_0801_FDSW210423161-1r,CXD_0802_FDSW210423162-1r,CXD_0803_FDSW210423163-1r,CXD_0804_FDSW210423164-1r,CXD_0805_FDSW210423165-1r,CXD_0807_FDSW210423167-1r,CXD_1001_FDSW210423173-1r,CXD_1003_FDSW210423175-1r,CXD_1004_FDSW210423176-1r,CXD_1007_FDSW210423179-1r,CXD_1009_FDSW210423181-1r,CXD_1015_FDSW210423187-1r,CXD_1201_FDSW210423188-1r,CXD_1202_FDSW210423189-1r,CXD_1203_FDSW210423190-1r,CXD_1213_FDSW210423200-1r,CXD_1214_FDSW210423201-1r,CXD_1215_FDSW210423202-1r,CXD_0204_FDSW210423206-1r,CXD_0209_FDSW210423211-1r,CXD_0210_FDSW210423212-1r,CXD_0213_FDSW210423215-1r,CXD_0214_FDSW210423216-1r,CXD_0215_FDSW210423217-1r,CXD_1401_FDSW210423218-1r,CXD_1402_FDSW210423219-1r,CXD_1408_FDSW210423225-1r,CXD_1412_FDSW210423229-1r,CXD_1414_FDSW210423231-1r,CXD_1415_FDSW210423232-1r,CXD_1604_FDSW210423236-1r,CXD_1609_FDSW210423241-1r,CXD_1610_FDSW210423242-1r,CXD_1611_FDSW210423243-1r,CXD_1612_FDSW210423244-1r,CXD_1613_FDSW210423245-1r
[Candida] intermedia,0,0,0,0,2.724196495,0,0,0,0,0,0,0,0,8.848573486,0,12.66672699,2.87925658,15.88429105,17.52486735,4.307114041,3.009492319,105.4164808,43.00570406,58.9155716,16.74024077,3.040296323,3.050803651,0,7.989953957,0,0,0,0,0,0,0
[Candida] subhashii,20.33999866,13.7831617,67.18260996,3.701183397,2.724196495,44.9142485,2.998863283,4.399965516,0,77.37237243,13.01514373,7.956641982,8.935761554,11.79809798,18.62649231,2.533345398,7.198141449,7.220132297,2.920811225,20.09986552,3.009492319,15.05949725,0,2.740259144,9.131040421,0,15.25401825,5.650686992,0,2.575286381,5.343979725,39.87318741,0,2.67977046,0,0
Abrostola tripartita,337.0628349,548.5698356,187.8370932,412.0650849,174.3485757,175.3104538,290.8897385,580.7954481,292.0090989,265.6938072,281.9947808,319.5917863,571.8887394,457.1762968,478.0799693,317.9348474,303.7615691,303.2455565,319.8288291,234.0198629,407.7862093,460.820616,459.1899369,406.9284829,210.0139297,241.7035577,355.4186253,276.8836626,225.0503698,251.0904221,296.5908747,342.1376726,160.3502222,249.2186528,228.9650625,219.5685448
Abrostola triplasia,540.4628214,927.6067823,418.1774702,719.2633068,854.0356013,556.3571427,1294.009507,1550.987844,749.6772059,705.1104884,915.3984422,1542.262438,3389.632216,2259.335763,2528.546331,1226.139173,1323.018398,1292.403681,1850.333911,954.7436123,1039.779596,1194.218132,948.9000508,1081.032232,1884.038007,1023.059713,1267.608917,1196.53297,1154.548347,1125.400148,1102.195818,1071.431133,701.8838673,731.5773357,550.6064599,642.6039412
Acanthaster planci,29.05714094,30.32295574,17.82395774,45.64792856,38.13875093,69.54464284,46.48238089,70.39944826,74.40616463,42.33582643,120.0285477,205.5465845,56.59315651,73.73811238,38.80519231,149.4673785,148.2817138,108.3019845,58.4162245,109.1135557,105.3322312,79.81533545,72.13860035,93.1688109,13.69656063,4.560444484,106.7781278,125.7277856,210.4021209,204.7352673,17.36793411,124.7644896,43.60400779,103.1711627,62.69281474,80.50846643
Acanthisitta chloris,8.717142281,5.513264679,10.96858938,0,2.724196495,11.59077381,19.49261134,8.799931032,2.807779797,8.759136502,14.46127081,18.56549796,11.91434874,28.0204827,12.41766154,7.600036193,11.51702632,5.776105838,7.302028062,8.614228081,4.514238479,12.0475978,4.161842328,8.220777433,18.26208084,4.560444484,19.83022373,11.30137398,14.64824892,29.61579338,13.35994931,10.28985482,42.19742689,41.53644214,27.25774554,40.98612837
Acanthochromis polyacanthus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.104415385,15.20007239,8.637769739,11.55221168,17.52486735,21.5355702,33.10441551,61.74393874,47.16754639,20.55194358,48.69888225,86.64844521,42.71125111,0,0,0,0,0,0,0,0,0
Acanthopagrus latus,209.2114147,45.4844336,91.86193607,243.0443764,256.0744706,144.8846726,56.97840238,168.298681,87.04117372,576.643153,98.33664151,123.3279507,105.7398451,171.0724207,116.4155769,339.4682833,302.3219409,164.6190164,71.55987501,162.2346289,222.7024316,155.1128217,219.1903626,97.27919962,336.3266555,60.80592646,73.21928761,46.61816768,59.92465468,46.35515486,49.43181246,227.6630378,11.25264717,18.75839322,21.80619643,19.02927388
Accipiter gentilis,369.0256899,289.4463957,340.0262708,340.5088725,314.6446952,297.0135788,673.2448071,823.8935429,430.9941989,562.0445922,600.1427386,542.3777618,768.4754936,771.3006555,1091.202008,798.0038003,692.4612074,633.9276157,753.569296,391.9473777,660.5835641,921.641232,574.3342413,923.4673316,353.0668963,436.2825224,1136.42436,341.866563,347.5629971,354.1018774,419.5024084,340.8514408,454.3256295,557.3922558,418.406394,635.2849897
Acentria ephemerella,36.32142617,30.32295574,37.01898916,65.38757335,72.19120713,46.36309523,95.96362506,152.8988017,49.13614645,39.41611426,46.27606659,137.9151277,87.86832194,75.21287463,97.78908462,296.4014115,299.4426843,99.6378257,89.08474236,51.68536849,275.3685472,91.86293325,180.3465009,69.87660818,74.57016344,60.80592646,51.86366206,43.79282419,46.60806475,50.21808443,44.08783273,60.45289704,52.04349316,37.51678645,42.24950559,26.34822538
Acipenser ruthenus,246.985698,401.0900054,115.1701885,414.5325405,153.917102,249.2016369,109.4585098,129.7989827,155.8317788,254.0149586,212.5806809,212.1771195,202.5439285,240.3862464,707.8067077,252.0678671,267.7708619,268.5889215,219.0608419,265.6053658,151.9793621,195.7734643,173.410097,179.4869739,362.1979367,203.6998536,300.5041596,245.8048841,359.5479281,385.005314,316.6307987,176.2137637,298.19515,263.9573904,282.1176663,292.7580598
Acleris emargana,135.1157054,212.2606902,194.6924615,203.5650868,205.6768354,197.0431547,583.2789086,452.0964568,324.2985666,312.4092019,520.6057491,582.1609717,1212.284984,527.9648846,377.1864693,559.8693329,475.0773356,540.0658958,424.9780332,350.311942,648.5455948,319.2613418,384.276775,759.0517829,246.5380914,560.9346716,276.0977304,336.215876,532.6635972,355.3895206,451.5662868,299.6920215,215.2068771,229.1203744,228.9650625,262.0184635
Acleris literana,566.6142483,279.7981825,804.8202458,442.9082799,117.1404493,1153.281994,238.409631,265.0979223,221.814604,1486.133493,299.3483058,161.7850536,479.5525367,395.2362824,687.6280077,962.6712512,669.4271548,272.9210008,403.071949,443.6327462,762.906303,668.6416781,536.8776603,712.4673775,630.0417891,799.5979329,558.297068,223.2021362,226.3820288,314.1849385,207.0792144,634.112303,213.8002962,259.9377347,260.3114699,281.0477374
Acleris sparsana,524.4813939,464.4925492,353.7370075,426.8698185,584.3401482,398.4328496,674.7442387,486.1961895,391.6852817,489.051788,488.7909534,319.5917863,942.7228439,547.1367939,599.1521693,361.0017192,532.6624672,509.7413402,712.6779389,554.1820066,511.6136943,548.1657001,500.8083601,579.564809,331.7611353,208.2602981,302.0295614,241.5668689,307.6132274,231.7757743,313.9588089,277.82608,188.4818401,175.5249652,231.6908371,259.0908829
Acomys percivali,26.15142684,60.64591147,13.71073673,78.95857914,21.79357196,56.50502231,44.98294925,29.69976723,50.54003635,36.49640209,40.49155827,43.7615309,41.70022058,106.1828818,54.32726923,59.53361685,59.02475988,34.65663503,86.16393113,44.50684509,58.68510023,76.803436,33.29473862,47.95453502,19.78392091,54.72533381,57.96526936,48.03083943,34.62313382,56.65630038,52.10380232,68.17028816,40.79084599,26.7977046,34.07218193,40.98612837
Acomys russatus,5205.586799,2527.831856,1324.457168,2019.612407,1126.455251,1190.952009,1715.349798,1072.491595,1051.513534,1324.089468,1534.340833,885.839474,1666.51953,1448.216527,2418.339585,1086.805176,1302.863602,1162.4413,1231.121931,1671.160248,958.5233037,933.6888298,822.6575002,1213.934801,1955.56449,1892.584461,1655.06098,522.6885467,649.8495885,840.8310034,1687.361598,1768.568796,437.4466587,466.2800601,460.6558996,399.6147516
Acrobasis suavella,187.418559,93.72549955,60.3272416,118.4378687,118.5025475,79.68656992,251.9045158,100.0992155,70.19449493,102.1899259,125.813056,132.6106997,190.6295798,144.5267003,102.4457077,100.0671432,112.2910066,112.6340638,538.889671,403.4330151,276.8732934,978.8673215,1018.26409,1287.921798,117.1816854,71.44696359,137.2861643,132.7911443,113.1910144,151.9418965,50.76780739,77.17391112,127.9988616,136.6682935,104.9423203,125.8859657
Acrocephalus scirpaceus,187.418559,241.2053297,112.4280412,271.4201158,253.3502741,192.6966145,193.4266818,190.2985086,190.9290262,248.1755342,309.4711953,221.4598685,221.9047452,227.1133861,291.8150462,292.6013934,338.3126481,226.7121541,493.617097,255.5554331,520.6421712,811.706902,514.6811679,905.6556472,319.5864147,209.7804463,535.4160407,234.5035102,211.7337799,262.6792109,249.8310522,235.3804289,253.1845613,257.2579642,208.5217534,311.7873336
Acronicta aceris,281.8542671,140.5882493,560.7691321,224.5384594,185.2453617,279.6274181,364.3618889,380.5970171,221.814604,407.2998473,381.7775494,208.1987985,632.9497767,365.7410374,482.7365923,362.2683919,381.5014968,226.7121541,299.3831505,271.3481846,255.8068471,314.7434926,377.3403711,290.4674693,637.6509894,408.9198554,228.8102738,156.806564,259.6735036,159.6677556,368.734601,277.82608,213.8002962,202.3226698,203.0702043,172.7272553
