samples	group
E1	EukRep
E2	EukRep
E3	EukRep
E4	EukRep
E5	EukRep
E6	EukRep
E7	EukRep
E8	EukRep
E9	EukRep
E10	EukRep
E11	EukRep
E12	EukRep
E13	EukRep
E14	EukRep
E15	EukRep
E16	EukRep
E17	EukRep
E18	EukRep
E19	EukRep
E20	EukRep
E21	EukRep
E22	EukRep
E23	EukRep
E24	EukRep
E25	EukRep
E26	EukRep
E27	EukRep
E28	EukRep
E29	EukRep
E30	EukRep
E31	EukRep
E32	EukRep
E33	EukRep
E34	EukRep
E35	EukRep
E36	EukRep
T1	Tiara
T2	Tiara
T3	Tiara
T4	Tiara
T5	Tiara
T6	Tiara
T7	Tiara
T8	Tiara
T9	Tiara
T10	Tiara
T11	Tiara
T12	Tiara
T13	Tiara
T14	Tiara
T15	Tiara
T16	Tiara
T17	Tiara
T18	Tiara
T19	Tiara
T20	Tiara
T21	Tiara
T22	Tiara
T23	Tiara
T24	Tiara
T25	Tiara
T26	Tiara
T27	Tiara
T28	Tiara
T29	Tiara
T30	Tiara
T31	Tiara
T32	Tiara
T33	Tiara
T34	Tiara
T35	Tiara
T36	Tiara
C1	CCMetagen
C2	CCMetagen
C3	CCMetagen
C4	CCMetagen
C5	CCMetagen
C6	CCMetagen
C7	CCMetagen
C8	CCMetagen
C9	CCMetagen
C10	CCMetagen
C11	CCMetagen
C12	CCMetagen
C13	CCMetagen
C14	CCMetagen
C15	CCMetagen
C16	CCMetagen
C17	CCMetagen
C18	CCMetagen
C19	CCMetagen
C20	CCMetagen
C21	CCMetagen
C22	CCMetagen
C23	CCMetagen
C24	CCMetagen
C25	CCMetagen
C26	CCMetagen
C27	CCMetagen
C28	CCMetagen
C29	CCMetagen
C30	CCMetagen
C31	CCMetagen
C32	CCMetagen
C33	CCMetagen
C34	CCMetagen
C35	CCMetagen
C36	CCMetagen
