species,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36
[Candida] intermedia,0,0,0,0,2.724196495,0,0,0,0,0,0,0,0,8.848573486,0,12.66672699,2.87925658,15.88429105,17.52486735,4.307114041,3.009492319,105.4164808,43.00570406,58.9155716,16.74024077,3.040296323,3.050803651,0,7.989953957,0,0,0,0,0,0,0,0,0,0,0,2.724196495,0,0,0,0,0,0,0,0,8.848573486,0,12.66672699,2.87925658,15.88429105,17.52486735,4.307114041,3.009492319,105.4164808,43.00570406,58.9155716,16.74024077,3.040296323,3.050803651,0,7.989953957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[Candida] subhashii,20.33999866,13.7831617,67.18260996,3.701183397,2.724196495,44.9142485,2.998863283,4.399965516,0,77.37237243,13.01514373,7.956641982,8.935761554,11.79809798,18.62649231,2.533345398,7.198141449,7.220132297,2.920811225,20.09986552,3.009492319,15.05949725,0,2.740259144,9.131040421,0,15.25401825,5.650686992,0,2.575286381,5.343979725,39.87318741,0,2.67977046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abra nitida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.9296777,0,0,0,0,0,0,0
Abrostola tripartita,337.0628349,548.5698356,187.8370932,412.0650849,174.3485757,175.3104538,290.8897385,580.7954481,292.0090989,265.6938072,281.9947808,319.5917863,571.8887394,457.1762968,478.0799693,317.9348474,303.7615691,303.2455565,319.8288291,234.0198629,407.7862093,460.820616,459.1899369,406.9284829,210.0139297,241.7035577,355.4186253,276.8836626,225.0503698,251.0904221,296.5908747,342.1376726,160.3502222,249.2186528,228.9650625,219.5685448,159.8142751,154.371411,105.5726728,166.5532529,47.67343867,84.0331101,35.9863594,42.89966378,78.61783433,64.23366768,112.7979123,99.45802478,69.99679884,104.7081196,37.25298462,114.0005429,123.8080329,77.97742881,96.38677042,64.60671061,147.4651236,24.09519561,45.78026561,50.69479417,94.35408435,101.8499268,126.6083515,36.72946545,54.59801871,72.10801867,197.7272498,144.0579674,60.48297854,68.33414674,104.9423203,48.30507986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abrostola triplasia,540.4628214,927.6067823,418.1774702,719.2633068,854.0356013,556.3571427,1294.009507,1550.987844,749.6772059,705.1104884,915.3984422,1542.262438,3389.632216,2259.335763,2528.546331,1226.139173,1323.018398,1292.403681,1850.333911,954.7436123,1039.779596,1194.218132,948.9000508,1081.032232,1884.038007,1023.059713,1267.608917,1196.53297,1154.548347,1125.400148,1102.195818,1071.431133,701.8838673,731.5773357,550.6064599,642.6039412,97.34142214,143.3448817,28.79254713,56.75147876,147.1066107,81.13541665,595.2743617,804.093698,117.9267515,207.2995639,75.19860821,90.1752758,2646.474713,1470.337961,1850.231569,138.0673242,149.7213421,153.0668047,1054.412852,119.1634885,76.74205414,293.6601965,264.9706282,216.4804724,1366.612383,674.9457837,337.1138034,69.22091565,66.58294964,81.121521,531.7259827,51.44927408,53.45007406,58.95495013,35.4350692,26.34822538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acanthaster planci,29.05714094,30.32295574,17.82395774,45.64792856,38.13875093,69.54464284,46.48238089,70.39944826,74.40616463,42.33582643,120.0285477,205.5465845,56.59315651,73.73811238,38.80519231,149.4673785,148.2817138,108.3019845,58.4162245,109.1135557,105.3322312,79.81533545,72.13860035,93.1688109,13.69656063,4.560444484,106.7781278,125.7277856,210.4021209,204.7352673,17.36793411,124.7644896,43.60400779,103.1711627,62.69281474,80.50846643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acanthisitta chloris,8.717142281,5.513264679,10.96858938,0,2.724196495,11.59077381,19.49261134,8.799931032,2.807779797,8.759136502,14.46127081,18.56549796,11.91434874,28.0204827,12.41766154,7.600036193,11.51702632,5.776105838,7.302028062,8.614228081,4.514238479,12.0475978,4.161842328,8.220777433,18.26208084,4.560444484,19.83022373,11.30137398,14.64824892,29.61579338,13.35994931,10.28985482,42.19742689,41.53644214,27.25774554,40.98612837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acanthochromis polyacanthus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.104415385,15.20007239,8.637769739,11.55221168,17.52486735,21.5355702,33.10441551,61.74393874,47.16754639,20.55194358,48.69888225,86.64844521,42.71125111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.104415385,15.20007239,8.637769739,11.55221168,17.52486735,21.5355702,33.10441551,61.74393874,47.16754639,20.55194358,48.69888225,86.64844521,42.71125111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acanthopagrus latus,209.2114147,45.4844336,91.86193607,243.0443764,256.0744706,144.8846726,56.97840238,168.298681,87.04117372,576.643153,98.33664151,123.3279507,105.7398451,171.0724207,116.4155769,339.4682833,302.3219409,164.6190164,71.55987501,162.2346289,222.7024316,155.1128217,219.1903626,97.27919962,336.3266555,60.80592646,73.21928761,46.61816768,59.92465468,46.35515486,49.43181246,227.6630378,11.25264717,18.75839322,21.80619643,19.02927388,199.0414154,28.94463957,86.37764138,236.8757374,245.1776846,111.5611979,38.98522268,146.2988534,70.19449493,550.3657435,34.70704994,46.4137449,87.86832194,128.3043155,91.58025385,283.7346846,249.0556941,118.4101697,46.7329796,28.7140936,154.9888544,143.0652239,198.381151,80.83764475,333.2829754,60.80592646,33.55884016,5.650686992,14.64824892,11.58878871,49.43181246,24.43840519,2.813161793,0,14.99176005,8.782741793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acartia pacifica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.62403135
