species,CXD_0801_FDSW210423161-1r,CXD_0802_FDSW210423162-1r,CXD_0803_FDSW210423163-1r,CXD_0804_FDSW210423164-1r,CXD_0805_FDSW210423165-1r,CXD_0807_FDSW210423167-1r,CXD_1001_FDSW210423173-1r,CXD_1003_FDSW210423175-1r,CXD_1004_FDSW210423176-1r,CXD_1007_FDSW210423179-1r,CXD_1009_FDSW210423181-1r,CXD_1015_FDSW210423187-1r,CXD_1201_FDSW210423188-1r,CXD_1202_FDSW210423189-1r,CXD_1203_FDSW210423190-1r,CXD_1213_FDSW210423200-1r,CXD_1214_FDSW210423201-1r,CXD_1215_FDSW210423202-1r,CXD_0204_FDSW210423206-1r,CXD_0209_FDSW210423211-1r,CXD_0210_FDSW210423212-1r,CXD_0213_FDSW210423215-1r,CXD_0214_FDSW210423216-1r,CXD_0215_FDSW210423217-1r,CXD_1401_FDSW210423218-1r,CXD_1402_FDSW210423219-1r,CXD_1408_FDSW210423225-1r,CXD_1412_FDSW210423229-1r,CXD_1414_FDSW210423231-1r,CXD_1415_FDSW210423232-1r,CXD_1604_FDSW210423236-1r,CXD_1609_FDSW210423241-1r,CXD_1610_FDSW210423242-1r,CXD_1611_FDSW210423243-1r,CXD_1612_FDSW210423244-1r,CXD_1613_FDSW210423245-1r
Timema cristinae,58.11428187,103.3737127,46.61650487,60.45266215,66.74281413,63.74925594,61.47669731,85.79932756,42.11669696,74.45266027,101.2288957,128.6323787,312.7516544,230.0629106,298.0238769,2349.677856,2810.154422,763.889997,5799.270687,6454.928242,5006.290473,10836.81422,12378.70636,7206.881549,12821.50259,19226.83395,6580.583474,293.8357236,276.9850705,288.4320747,169.6713563,68.17028816,63.29614033,89.77231043,84.49901118,96.61015972
Alitta virens,21.7928557,28.94463957,35.64791549,17.27218919,187.9695582,94.17503718,148.4437325,300.2976465,108.0995222,106.5694941,101.2288957,116.6974157,99.78267068,144.5267003,128.8332385,163.4007782,172.7553948,137.1825136,96.38677042,91.88509953,245.273624,484.9158116,438.3807252,154.8246416,28.91496133,25.84251875,183.048219,1921.233577,41442.55952,20346.05005,30.72788342,176.2137637,229.2726861,352.3898155,337.9960447,118.5670142
Canis lupus,1032.98136,1385.207751,950.1540551,1534.757382,1063.798731,1593.731398,1436.455513,2248.382379,1153.997497,1643.79795,2021.685659,1636.416034,1782.68443,1728.421354,1826.948454,2071.009863,2084.581764,1835.35763,1767.090791,1516.104142,3141.909981,1923.097799,1871.441767,2029.161896,658.9567504,1059.543269,1500.995396,1131.55007,1777.764756,1617.279847,1067.45995,1591.068801,715.9496762,830.7288427,575.1384309,878.2741793
Mus musculus,752.5799502,857.3126576,319.4601657,709.3934844,1517.377448,1028.681175,2318.121318,3448.472973,1834.884098,2237.959376,1026.750227,1066.190026,1550.35463,1535.2275,1511.850292,1475.673694,1700.20101,1383.377348,1729.120245,1741.509777,1369.319005,2453.192103,2563.694874,3248.577215,1432.051506,1068.664158,2317.085373,1155.56549,990.7542907,925.815454,853.7007611,887.4999779,1243.417512,1457.79513,1595.941001,1225.19248
Streptopelia turtur,435.857114,391.4417922,368.8188179,394.7928957,941.2098891,743.2583704,1502.430505,1715.986551,578.4026383,645.256389,731.740303,726.7066344,4816.375477,3008.514985,3737.716123,976.6046509,1259.674754,1075.799712,2300.13884,582.8961002,615.4411793,783.0938572,771.3281115,1165.980266,3010.199659,1545.99068,2010.479606,706.335874,953.4678389,688.8891069,1068.795945,424.4565112,541.5336451,687.3611231,425.2208304,509.399024
Gouania willdenowi,642.1628147,820.0981211,271.4725872,531.7366814,636.0998817,363.6605282,676.2436704,567.5955516,501.1886938,300.7303532,770.7857341,632.5530376,1038.037634,864.2106771,658.1360616,938.6044699,931.4395035,811.5428702,3147.174095,1682.645885,1431.013598,2188.144951,1885.314575,3981.596537,695.4809121,627.8211907,555.2462644,419.5635091,812.3119857,692.7520365,657.3095062,315.1268037,334.7662533,321.5724553,310.7382992,313.2511239
Homo sapiens,642.1628147,665.72671,245.4221874,614.3964439,333.7140707,376.7001487,529.2993695,524.6958878,286.3935393,359.1245966,456.9761576,343.4617122,689.5429332,642.99634,578.9734693,477.5356075,524.0246975,544.3979752,1672.164426,742.2593197,1227.872866,2599.269226,2244.620296,3374.629136,3211.082548,1503.426532,701.6848396,316.4384715,502.0354403,391.4435299,331.326743,299.6920215,299.6017309,263.9573904,2806.184903,389.3682195
Mythimna ferrago,1048.962788,1502.364625,264.6172188,964.7751388,743.7056432,230.3666294,2689.980365,1046.091801,847.9494988,308.0296337,1156.901665,270.5258274,2308.405068,1566.197507,2977.134354,661.2031488,649.2723587,876.5240609,1834.269449,463.7326117,627.4791486,703.2785218,399.5368635,1426.304885,2602.34652,722.0703767,1465.911154,40.96748069,225.0503698,91.42266652,451.5662868,183.9311548,32.35136061,92.45208089,68.14436385,42.44991866
Cyprinus carpio,727.8813804,253.6101753,678.681468,1168.340226,1170.042395,454.9378719,1015.115221,1966.784586,1118.900249,418.978696,604.4811198,397.8320991,1032.080459,1393.650324,1365.942769,543.4025878,724.1330298,717.6811503,1051.492041,854.2442847,1006.675181,855.3794441,1426.124638,1067.330937,797.4441968,1330.129641,1961.666747,477.4830508,688.4676993,668.2868159,1768.857289,367.8623097,424.7874307,261.2776199,512.4456162,197.6116903
Danio aesculapii,258.6085543,330.7958808,367.4477443,376.2869787,615.6684079,643.2879463,439.333471,685.2946291,496.9770241,468.6138029,684.0181093,566.2476878,838.4722925,906.9787823,1053.949023,757.4702739,934.3187601,863.5278227,1276.394505,714.9809307,967.5517807,1484.866429,1015.489528,1704.441188,735.0487539,1457.822087,3421.476294,1093.407933,515.3520302,325.7737272,1003.332193,619.9637527,326.3267679,503.7968466,351.6249175,784.5916001
Haslea sp.,129.3042772,56.51096296,94.60408341,72.78994014,309.1963022,149.2312128,661.249354,1096.691405,219.0068242,200.0002835,370.2085327,289.0913254,1276.324609,926.1506915,1387.673677,1678.341326,1808.173132,713.349071,1003.298656,740.823615,1274.519997,2882.387775,2800.919887,2193.577445,1581.191833,1159.873047,1015.917616,637.1149583,435.4524907,408.1828914,338.0067176,105.4710119,308.0412163,294.7747506,344.8104811,305.9321724
Selenia dentaria,416.9699724,219.152271,652.6310682,853.7396369,787.2927871,84.0331101,191.9272501,1714.88656,621.9232251,169.3433057,260.3028746,278.4824694,245.7334427,572.2077521,721.776577,1053.871685,1059.566421,648.3678803,553.4937271,232.5841582,3563.238906,1385.473747,2304.273369,953.6101822,531.1221845,1698.005496,791.6835473,686.5584695,580.6033209,818.9410692,2017.352346,315.1268037,189.888421,297.4545211,611.9363874,99.53774032
Agriphila geniculea,957.4327938,489.3022403,361.9634496,755.041413,760.0508222,410.0236234,827.6862662,621.4951291,960.2606907,347.4457479,1537.233087,944.1881819,777.4112552,1094.273588,1331.7942,668.803185,777.3992765,1179.769617,1198.993008,587.2032142,833.6293725,1439.687938,1252.714541,1498.921752,1215.950216,252.3445948,846.598013,597.5601494,504.6987583,280.7062155,160.3193918,427.0289749,178.6357738,195.6232436,145.8289386,136.1324978
Epithemia pelagica,72.64285234,20.67474255,39.76113651,34.54437837,95.34687734,56.50502231,661.249354,1173.690801,134.7734303,144.5257523,219.8113163,159.1328396,1595.033437,1923.089971,1844.022739,1575.740837,1703.080267,765.3340235,718.5195613,581.4603955,1873.408969,1590.28291,1802.077728,1256.408818,663.5222706,857.3635631,633.0417575,235.9161819,105.2010604,131.3396054,205.7432194,43.73188297,132.2186043,162.1261129,73.59591296,111.2480627
Limnephilus marmoratus,947.2627945,485.1672918,732.1533412,771.0798744,760.0508222,434.6540178,818.6896763,1049.391776,626.1348948,583.9424335,843.0920882,681.6189965,1362.703637,1001.363566,828.8789077,752.4035832,813.3899837,841.8674259,955.1052705,641.759992,552.2418406,495.4574597,470.2881831,913.8764246,657.4349103,589.8174867,417.9601001,286.7723648,516.6836892,467.4144781,726.7812426,488.7681038,164.5699649,225.1007187,198.9815424,266.4098344
Cottoperca gobio,523.0285368,416.2514833,172.7552828,389.8579845,378.6633128,131.8450521,419.8408597,679.7946722,178.2940171,105.109638,268.9796371,270.5258274,589.7602625,504.3686887,802.491377,1056.405031,856.5788324,560.2822663,991.6154108,213.9199973,911.8761728,1212.289529,1055.720671,1979.837232,2378.63603,1026.100009,364.5710362,94.64900711,109.1960374,99.14852567,462.2542462,110.6159393,1236.384608,992.8549556,738.6849041,1011.479096
Laothoe populi,265.8728396,567.866262,226.227156,549.0088706,318.7309899,431.7563243,502.3095999,496.0961119,439.4175383,614.5994112,835.8614528,530.4427988,1218.242158,637.097291,495.1542539,955.071215,860.8977173,626.7074834,847.0352552,974.8434778,803.5344493,798.1533545,604.8544183,901.5452584,482.4233023,649.103265,953.3761408,405.4367916,680.4777454,1018.525764,676.0134352,703.568823,594.9837191,486.3783386,545.1549108,509.399024
Agonopterix subpropinquella,1073.661358,923.4718338,134.3652199,714.3283956,640.1861764,126.0496652,925.1493229,1476.188431,356.5880343,218.9784125,905.2755527,1201.452939,1776.727256,1082.47549,771.4472231,659.9364761,1292.786204,1061.359448,1261.790449,188.0773131,493.5567404,730.3856168,767.1662691,1212.564671,451.9865009,161.1357051,219.6578628,285.3596931,438.1158087,477.7156237,66.79974656,109.3297074,230.679267,164.8058833,186.715557,275.1925762
Oryzias latipes,191.7771302,394.1984246,215.2585666,414.5325405,237.0050951,208.6339285,347.8681409,472.996293,277.9701999,335.7668992,530.7286387,305.0046093,683.5857589,589.904899,977.8908462,695.4033117,816.2692403,724.9012826,994.536222,654.6813342,686.1642488,1522.515172,1247.165418,1714.032095,488.5106625,985.0560087,2440.64292,309.3751128,296.9599554,239.5016334,563.789861,222.5181104,133.6251851,207.6822107,160.8206987,316.1787045
Timema genevievae,588.407104,656.0784968,1068.066391,700.7573899,380.0254111,779.4795385,1064.596466,262.8979396,341.1452454,1185.40314,793.9237674,525.1383708,555.5065099,479.2977305,1016.696039,716.9367476,918.4828489,464.9765199,591.464273,445.0684509,826.1056417,546.6597503,450.8662522,585.0453273,908.5385219,364.8355588,863.3774331,402.6114482,751.055672,981.1841112,260.5190116,621.2499845,64.70272123,85.75265473,143.1031641,191.7565291
Sphaeramia orbicularis,145.2857047,285.3114472,83.63549403,218.3698204,107.6057616,60.85156249,791.6999068,786.493836,189.5251363,226.277693,358.6395161,165.7633746,1790.130898,712.3101656,664.3448923,390.1351913,398.7770363,298.9134771,525.7460205,1286.391393,1936.608308,2411.02551,2257.105823,1231.746485,1212.906536,494.0481525,201.3530409,237.3288536,89.22115252,117.1755303,396.7904946,118.3333304,205.3608109,255.918079,222.1506262,232.7426575
