sampls,Richness1,Richness18
CXD_0801_FDSW210423161-1r,924,132
CXD_0802_FDSW210423162-1r,899,146
CXD_0803_FDSW210423163-1r,917,130
CXD_0804_FDSW210423164-1r,924,122
CXD_0805_FDSW210423165-1r,945,122
CXD_0807_FDSW210423167-1r,948,114
CXD_1001_FDSW210423173-1r,1892,262
CXD_1003_FDSW210423175-1r,1918,277
CXD_1004_FDSW210423176-1r,1877,257
CXD_1007_FDSW210423179-1r,1873,242
CXD_1009_FDSW210423181-1r,1916,230
CXD_1015_FDSW210423187-1r,1895,253
CXD_1201_FDSW210423188-1r,2885,385
CXD_1202_FDSW210423189-1r,2920,388
CXD_1203_FDSW210423190-1r,2878,359
CXD_1213_FDSW210423200-1r,2888,332
CXD_1214_FDSW210423201-1r,2932,327
CXD_1215_FDSW210423202-1r,2879,355
CXD_0204_FDSW210423206-1r,3892,479
CXD_0209_FDSW210423211-1r,3900,466
CXD_0210_FDSW210423212-1r,3873,452
CXD_0213_FDSW210423215-1r,3905,417
CXD_0214_FDSW210423216-1r,3949,421
CXD_0215_FDSW210423217-1r,3887,452
CXD_1401_FDSW210423218-1r,4877,582
CXD_1402_FDSW210423219-1r,4882,572
CXD_1408_FDSW210423225-1r,4883,552
CXD_1412_FDSW210423229-1r,4864,524
CXD_1414_FDSW210423231-1r,4896,527
CXD_1415_FDSW210423232-1r,4812,562
CXD_1604_FDSW210423236-1r,5821,691
CXD_1609_FDSW210423241-1r,5824,699
CXD_1610_FDSW210423242-1r,5773,681
CXD_1611_FDSW210423243-1r,5773,665
CXD_1612_FDSW210423244-1r,5827,648
CXD_1613_FDSW210423245-1r,5734,684
