,distance,similarity1,similarity18
1,0,0,0
2,0,-0.11433351,-0.058022336
3,0,-0.144772451,-0.06685029
4,0,-0.088860401,-0.065625238
5,0,-0.116749917,-0.11282685
6,0,-0.140359445,-0.232495808
7,0.301029996,-0.153871389,-0.084833563
8,0.301029996,-0.223030704,-0.154244053
9,0.301029996,-0.136659958,-0.166987396
10,0.301029996,-0.172319862,-0.178134583
11,0.301029996,-0.196335614,-0.32331261
12,0.301029996,-0.185545673,-0.140130873
13,0.602059991,-0.20351719,-0.124773323
14,0.602059991,-0.190392428,-0.168186793
15,0.602059991,-0.200511925,-0.200500037
16,0.602059991,-0.241581509,-0.160714394
17,0.602059991,-0.2394736,-0.155797639
18,0.602059991,-0.189090031,-0.157221001
19,0.77815125,-0.192223821,-0.156169974
20,0.77815125,-0.22400901,-0.215591359
21,0.77815125,-0.235647403,-0.216855116
22,0.77815125,-0.298393483,-0.199002533
23,0.77815125,-0.314913519,-0.179633198
24,0.77815125,-0.273582936,-0.16556632
25,0.903089987,-0.235678352,-0.18394367
26,0.903089987,-0.23524632,-0.196896068
27,0.903089987,-0.257266408,-0.234600109
28,0.903089987,-0.22743206,-0.284405918
29,0.903089987,-0.285482776,-0.30774676
30,0.903089987,-0.25806701,-0.326634238
31,1,-0.173330099,-0.251685375
32,1,-0.177135798,-0.171945429
33,1,-0.226409965,-0.261262573
34,1,-0.215190041,-0.220060111
35,1,-0.261303941,-0.322666228
36,1,-0.217643013,-0.153873365
37,0,-0.11433351,-0.058022336
38,0,0,0
39,0,-0.146671172,-0.070838356
40,0,-0.067719421,-0.056606443
41,0,-0.129761496,-0.11593325
42,0,-0.133740507,-0.231004701
43,0.301029996,-0.14241796,-0.093628305
44,0.301029996,-0.211150246,-0.153301105
45,0.301029996,-0.12971279,-0.166206962
46,0.301029996,-0.147247243,-0.182916053
47,0.301029996,-0.148617055,-0.311749725
48,0.301029996,-0.147579282,-0.12936522
49,0.602059991,-0.177124407,-0.12647774
50,0.602059991,-0.160442068,-0.164063659
51,0.602059991,-0.17462449,-0.188297354
52,0.602059991,-0.190196264,-0.171471624
53,0.602059991,-0.197332089,-0.156068396
54,0.602059991,-0.157004209,-0.154277768
55,0.77815125,-0.154502335,-0.163340093
56,0.77815125,-0.170831151,-0.220452588
57,0.77815125,-0.191203088,-0.216135296
58,0.77815125,-0.263764774,-0.205573606
59,0.77815125,-0.287116658,-0.188388522
60,0.77815125,-0.237408075,-0.179204494
61,0.903089987,-0.222134582,-0.198965161
62,0.903089987,-0.22907868,-0.201588965
63,0.903089987,-0.20889922,-0.225825779
64,0.903089987,-0.211972548,-0.288382122
65,0.903089987,-0.24659553,-0.329198977
66,0.903089987,-0.219761181,-0.318561848
67,1,-0.152301491,-0.244529617
68,1,-0.127316505,-0.171436548
69,1,-0.218537762,-0.253736581
70,1,-0.205241724,-0.214912395
71,1,-0.254937239,-0.317873351
72,1,-0.2142949,-0.146972629
73,0,-0.144772451,-0.06685029
74,0,-0.146671172,-0.070838356
75,0,0,0
76,0,-0.117490992,-0.079535917
77,0,-0.146372221,-0.11764974
78,0,-0.108670667,-0.227378966
79,0.301029996,-0.192275141,-0.110199198
80,0.301029996,-0.254227276,-0.15625464
81,0.301029996,-0.137029276,-0.176889676
82,0.301029996,-0.123814747,-0.188242663
83,0.301029996,-0.196615933,-0.312307274
84,0.301029996,-0.194213493,-0.143143749
85,0.602059991,-0.23997749,-0.136086665
86,0.602059991,-0.214416618,-0.171226151
87,0.602059991,-0.211999361,-0.20383173
88,0.602059991,-0.23642034,-0.174781489
89,0.602059991,-0.242112814,-0.159910983
90,0.602059991,-0.193146569,-0.159552492
91,0.77815125,-0.206407613,-0.158104474
92,0.77815125,-0.211195363,-0.212688957
93,0.77815125,-0.223889381,-0.206713388
94,0.77815125,-0.303382511,-0.205061679
95,0.77815125,-0.317036848,-0.187041194
96,0.77815125,-0.286777064,-0.184431287
97,0.903089987,-0.248423373,-0.200406291
98,0.903089987,-0.239757962,-0.201532574
99,0.903089987,-0.254747618,-0.222676766
100,0.903089987,-0.232968647,-0.290245606
101,0.903089987,-0.290426283,-0.331474628
102,0.903089987,-0.262425629,-0.322219295
103,1,-0.189955382,-0.229398432
104,1,-0.153093033,-0.179990774
105,1,-0.229677377,-0.25176977
106,1,-0.218683692,-0.224000926
107,1,-0.263529474,-0.320633915
108,1,-0.221365483,-0.147138428
109,0,-0.088860401,-0.065625238
110,0,-0.067719421,-0.056606443
111,0,-0.117490992,-0.079535917
112,0,0,0
113,0,-0.099233659,-0.109316702
114,0,-0.112697814,-0.23679619
115,0.301029996,-0.136596313,-0.091566048
116,0.301029996,-0.201341288,-0.160765726
117,0.301029996,-0.107893259,-0.171419011
118,0.301029996,-0.135367844,-0.183654971
119,0.301029996,-0.150332305,-0.317529511
120,0.301029996,-0.147871878,-0.153402038
121,0.602059991,-0.17999493,-0.10374381
122,0.602059991,-0.158569373,-0.163787872
123,0.602059991,-0.172963023,-0.191004045
124,0.602059991,-0.195326403,-0.141143748
125,0.602059991,-0.19729522,-0.128014282
126,0.602059991,-0.152519133,-0.130114018
127,0.77815125,-0.153909899,-0.137009129
128,0.77815125,-0.175265671,-0.17756504
129,0.77815125,-0.186453665,-0.176073533
130,0.77815125,-0.262942759,-0.164995733
131,0.77815125,-0.282972534,-0.154513843
132,0.77815125,-0.238410217,-0.146558407
133,0.903089987,-0.210948791,-0.178241456
134,0.903089987,-0.208703984,-0.174216324
135,0.903089987,-0.208098255,-0.224476236
136,0.903089987,-0.203269534,-0.29038396
137,0.903089987,-0.250670909,-0.366105772
138,0.903089987,-0.222118336,-0.359214442
139,1,-0.143194456,-0.243410461
140,1,-0.123559946,-0.176712123
141,1,-0.217622402,-0.281752587
142,1,-0.202714772,-0.242500683
143,1,-0.247472182,-0.348880285
144,1,-0.212240815,-0.166987396
145,0,-0.116749917,-0.11282685
146,0,-0.129761496,-0.11593325
147,0,-0.146372221,-0.11764974
148,0,-0.099233659,-0.109316702
149,0,0,0
150,0,-0.103332347,-0.191683362
151,0.301029996,-0.11651136,-0.130544763
152,0.301029996,-0.170778374,-0.126825758
153,0.301029996,-0.065585071,-0.130528802
154,0.301029996,-0.140928436,-0.149116312
155,0.301029996,-0.149180017,-0.283769455
156,0.301029996,-0.113295195,-0.121009508
157,0.602059991,-0.178159136,-0.121806594
158,0.602059991,-0.144047953,-0.126224811
159,0.602059991,-0.192062123,-0.144658061
160,0.602059991,-0.184485302,-0.183546758
161,0.602059991,-0.186853017,-0.153317926
162,0.602059991,-0.127038186,-0.144097809
163,0.77815125,-0.142965868,-0.139234328
164,0.77815125,-0.169457984,-0.21315204
165,0.77815125,-0.188788264,-0.214350628
166,0.77815125,-0.244245599,-0.162772421
167,0.77815125,-0.258782173,-0.194762758
168,0.77815125,-0.22948859,-0.189082021
169,0.903089987,-0.233386243,-0.243534669
170,0.903089987,-0.21118433,-0.224179106
171,0.903089987,-0.219543088,-0.184232562
172,0.903089987,-0.147989099,-0.274733035
173,0.903089987,-0.215507746,-0.389484684
174,0.903089987,-0.195030683,-0.363696365
175,1,-0.15117949,-0.18432288
176,1,-0.140788755,-0.145681562
177,1,-0.151156985,-0.240337293
178,1,-0.135626506,-0.263598077
179,1,-0.195282945,-0.372996625
180,1,-0.142631935,-0.157645523
181,0,-0.140359445,-0.232495808
182,0,-0.133740507,-0.231004701
183,0,-0.108670667,-0.227378966
184,0,-0.112697814,-0.23679619
185,0,-0.103332347,-0.191683362
186,0,0,0
187,0.301029996,-0.145967673,-0.242562653
188,0.301029996,-0.193754171,-0.23734695
189,0.301029996,-0.092378992,-0.240522305
190,0.301029996,-0.092171045,-0.18284403
191,0.301029996,-0.134403913,-0.069976715
192,0.301029996,-0.135801583,-0.212476876
193,0.602059991,-0.202310429,-0.243017368
194,0.602059991,-0.168358351,-0.239577517
195,0.602059991,-0.198946343,-0.239577517
196,0.602059991,-0.197607736,-0.314715365
197,0.602059991,-0.203560227,-0.286366618
198,0.602059991,-0.152312396,-0.270636827
199,0.77815125,-0.165668794,-0.24633879
200,0.77815125,-0.169186924,-0.360540616
201,0.77815125,-0.194444959,-0.336703007
202,0.77815125,-0.268915747,-0.299025647
203,0.77815125,-0.280407859,-0.272956959
204,0.77815125,-0.253547202,-0.326458781
205,0.903089987,-0.244245977,-0.361762108
206,0.903089987,-0.233473827,-0.343373852
207,0.903089987,-0.217655264,-0.317259541
208,0.903089987,-0.173463386,-0.248867592
209,0.903089987,-0.237762167,-0.165116704
210,0.903089987,-0.212337034,-0.258039514
211,1,-0.173544608,-0.302782522
212,1,-0.109830807,-0.211187339
213,1,-0.178660941,-0.260250106
214,1,-0.161309882,-0.257526037
215,1,-0.20165277,-0.123232489
216,1,-0.165438654,-0.257568804
217,0.301029996,-0.153871389,-0.084833563
218,0.301029996,-0.14241796,-0.093628305
219,0.301029996,-0.192275141,-0.110199198
220,0.301029996,-0.136596313,-0.091566048
221,0.301029996,-0.11651136,-0.130544763
222,0.301029996,-0.145967673,-0.242562653
223,0,0,0
224,0,-0.107276265,-0.115254713
225,0,-0.104242709,-0.121884818
226,0,-0.146561864,-0.150384229
227,0,-0.137275193,-0.303281152
228,0,-0.120881557,-0.122010006
229,0.301029996,-0.100324827,-0.093730942
230,0.301029996,-0.083476863,-0.152880807
231,0.301029996,-0.132650912,-0.169546634
232,0.301029996,-0.142973159,-0.146624656
233,0.301029996,-0.140604564,-0.138437143
234,0.301029996,-0.094659107,-0.119233058
235,0.602059991,-0.099204984,-0.139902486
236,0.602059991,-0.157895065,-0.190545648
237,0.602059991,-0.172926482,-0.179472385
238,0.602059991,-0.208395099,-0.168761591
239,0.602059991,-0.223982409,-0.119559754
240,0.602059991,-0.177966444,-0.130528802
241,0.77815125,-0.202304995,-0.138047219
242,0.77815125,-0.197787746,-0.17066559
243,0.77815125,-0.181136484,-0.215222647
244,0.77815125,-0.177017279,-0.231085171
245,0.77815125,-0.231690437,-0.2717622
246,0.77815125,-0.211461944,-0.271386751
247,0.903089987,-0.161225409,-0.232960305
248,0.903089987,-0.169307236,-0.138697288
249,0.903089987,-0.181517793,-0.198348995
250,0.903089987,-0.166129585,-0.185897429
251,0.903089987,-0.222373479,-0.302047495
252,0.903089987,-0.172135368,-0.127332464
253,0.301029996,-0.223030704,-0.154244053
254,0.301029996,-0.211150246,-0.153301105
255,0.301029996,-0.254227276,-0.15625464
256,0.301029996,-0.201341288,-0.160765726
257,0.301029996,-0.170778374,-0.126825758
258,0.301029996,-0.193754171,-0.23734695
259,0,-0.107276265,-0.115254713
260,0,0,0
261,0,-0.157849665,-0.037421298
262,0,-0.191385683,-0.103863876
263,0,-0.171773251,-0.288152616
264,0,-0.159001386,-0.134054459
265,0.301029996,-0.127071714,-0.127348308
266,0.301029996,-0.107594119,-0.164236114
267,0.301029996,-0.142556039,-0.162411562
268,0.301029996,-0.142350984,-0.197398454
269,0.301029996,-0.137294251,-0.19902122
270,0.301029996,-0.122976038,-0.16489207
271,0.602059991,-0.135761519,-0.175878595
272,0.602059991,-0.186654031,-0.238900997
273,0.602059991,-0.163594151,-0.218611026
274,0.602059991,-0.188748525,-0.177404991
275,0.602059991,-0.194275798,-0.175967193
276,0.602059991,-0.173721012,-0.189648591
277,0.77815125,-0.225370335,-0.198199753
278,0.77815125,-0.203371127,-0.215416667
279,0.77815125,-0.184420678,-0.125750967
280,0.77815125,-0.190356919,-0.257419139
281,0.77815125,-0.251508791,-0.336420856
282,0.77815125,-0.234715517,-0.331576046
283,0.903089987,-0.196129524,-0.104254321
284,0.903089987,-0.218099745,-0.129604058
285,0.903089987,-0.216826,-0.181262554
286,0.903089987,-0.201284625,-0.231991483
287,0.903089987,-0.247187388,-0.343452025
288,0.903089987,-0.205239195,-0.152847201
289,0.301029996,-0.136659958,-0.166987396
290,0.301029996,-0.12971279,-0.166206962
291,0.301029996,-0.137029276,-0.176889676
292,0.301029996,-0.107893259,-0.171419011
293,0.301029996,-0.065585071,-0.130528802
294,0.301029996,-0.092378992,-0.240522305
295,0,-0.104242709,-0.121884818
296,0,-0.157849665,-0.037421298
297,0,0,0
298,0,-0.126210148,-0.098567628
299,0,-0.126751589,-0.300463124
300,0,-0.102021742,-0.125230334
301,0.301029996,-0.172898162,-0.132608683
302,0.301029996,-0.131164546,-0.163254034
303,0.301029996,-0.186172327,-0.1563732
304,0.301029996,-0.172489262,-0.213828256
305,0.301029996,-0.181890796,-0.217069347
306,0.301029996,-0.11537061,-0.179597457
307,0.602059991,-0.134780305,-0.209346293
308,0.602059991,-0.155946169,-0.250295227
309,0.602059991,-0.180691301,-0.236022228
310,0.602059991,-0.241864806,-0.190967356
311,0.602059991,-0.256761105,-0.195893035
312,0.602059991,-0.227134025,-0.203812835
313,0.77815125,-0.240643668,-0.212033767
314,0.77815125,-0.220929011,-0.223526136
315,0.77815125,-0.212383098,-0.133250656
316,0.77815125,-0.149662233,-0.250106006
317,0.77815125,-0.212883567,-0.341424066
318,0.77815125,-0.191359566,-0.333711299
319,0.903089987,-0.156845099,-0.101155466
320,0.903089987,-0.125606075,-0.119948997
321,0.903089987,-0.143856985,-0.174304582
322,0.903089987,-0.129204083,-0.230964472
323,0.903089987,-0.187902342,-0.344521813
324,0.903089987,-0.13432258,-0.151957579
325,0.301029996,-0.172319862,-0.178134583
326,0.301029996,-0.147247243,-0.182916053
327,0.301029996,-0.123814747,-0.188242663
328,0.301029996,-0.135367844,-0.183654971
329,0.301029996,-0.140928436,-0.149116312
330,0.301029996,-0.092171045,-0.18284403
331,0,-0.146561864,-0.150384229
332,0,-0.191385683,-0.103863876
333,0,-0.126210148,-0.098567628
334,0,0,0
335,0,-0.140210109,-0.255201606
336,0,-0.145953813,-0.121806594
337,0.301029996,-0.189006912,-0.148899802
338,0.301029996,-0.16602083,-0.186714096
339,0.301029996,-0.176386277,-0.15856391
340,0.301029996,-0.184704434,-0.240440068
341,0.301029996,-0.187437802,-0.239105892
342,0.301029996,-0.147482822,-0.203378475
343,0.602059991,-0.161715704,-0.215164458
344,0.602059991,-0.15552983,-0.222657033
345,0.602059991,-0.181210005,-0.267715676
346,0.602059991,-0.243092552,-0.220845419
347,0.602059991,-0.255878623,-0.191793622
348,0.602059991,-0.23020519,-0.245526849
349,0.77815125,-0.231208837,-0.236001879
350,0.77815125,-0.228864118,-0.209193224
351,0.77815125,-0.202195466,-0.134827512
352,0.77815125,-0.195148276,-0.207341545
353,0.77815125,-0.244413055,-0.283156606
354,0.77815125,-0.223558317,-0.256202358
355,0.903089987,-0.179300645,-0.125861484
356,0.903089987,-0.121542988,-0.08539423
357,0.903089987,-0.206466632,-0.137511644
358,0.903089987,-0.191598423,-0.19452226
359,0.903089987,-0.23782279,-0.27918279
360,0.903089987,-0.194860998,-0.161639299
361,0.301029996,-0.196335614,-0.32331261
362,0.301029996,-0.148617055,-0.311749725
363,0.301029996,-0.196615933,-0.312307274
364,0.301029996,-0.150332305,-0.317529511
365,0.301029996,-0.149180017,-0.283769455
366,0.301029996,-0.134403913,-0.069976715
367,0,-0.137275193,-0.303281152
368,0,-0.171773251,-0.288152616
369,0,-0.126751589,-0.300463124
370,0,-0.140210109,-0.255201606
371,0,0,0
372,0,-0.109957078,-0.285088878
373,0.301029996,-0.174831395,-0.293926972
374,0.301029996,-0.146995946,-0.292673194
375,0.301029996,-0.187256388,-0.297804002
376,0.301029996,-0.150318785,-0.368583843
