,time,Richness1,Richness18
CXD_0801_FDSW210423161-1r,0,2.965671971,2.120573931
CXD_0802_FDSW210423162-1r,0,2.953759692,2.164352856
CXD_0803_FDSW210423163-1r,0,2.962369336,2.113943352
CXD_0804_FDSW210423164-1r,0,2.965671971,2.086359831
CXD_0805_FDSW210423165-1r,0,2.975431809,2.086359831
CXD_0807_FDSW210423167-1r,0,2.976808337,2.056904851
CXD_1001_FDSW210423173-1r,0.301029996,3.276921132,2.418301291
CXD_1003_FDSW210423175-1r,0.301029996,3.282848603,2.442479769
CXD_1004_FDSW210423176-1r,0.301029996,3.273464273,2.409933123
CXD_1007_FDSW210423179-1r,0.301029996,3.272537777,2.383815366
CXD_1009_FDSW210423181-1r,0.301029996,3.282395505,2.361727836
CXD_1015_FDSW210423187-1r,0.301029996,3.277609214,2.403120521
CXD_1201_FDSW210423188-1r,0.602059991,3.460145817,2.58546073
CXD_1202_FDSW210423189-1r,0.602059991,3.465382851,2.588831726
CXD_1203_FDSW210423190-1r,0.602059991,3.45909079,2.555094449
CXD_1213_FDSW210423200-1r,0.602059991,3.460597189,2.521138084
CXD_1214_FDSW210423201-1r,0.602059991,3.467163966,2.514547753
CXD_1215_FDSW210423202-1r,0.602059991,3.459241665,2.550228353
CXD_0204_FDSW210423206-1r,0.77815125,3.590172832,2.680335513
CXD_0209_FDSW210423211-1r,0.77815125,3.591064607,2.668385917
CXD_0210_FDSW210423212-1r,0.77815125,3.588047497,2.655138435
CXD_0213_FDSW210423215-1r,0.77815125,3.591621038,2.620136055
CXD_0214_FDSW210423216-1r,0.77815125,3.596487134,2.624282096
CXD_0215_FDSW210423217-1r,0.77815125,3.589614541,2.655138435
CXD_1401_FDSW210423218-1r,0.903089987,3.688152756,2.764922985
CXD_1402_FDSW210423219-1r,0.903089987,3.688597775,2.757396029
CXD_1408_FDSW210423225-1r,0.903089987,3.688686724,2.741939078
CXD_1412_FDSW210423229-1r,0.903089987,3.686993566,2.719331287
CXD_1414_FDSW210423231-1r,0.903089987,3.689841409,2.721810615
CXD_1415_FDSW210423232-1r,0.903089987,3.682325619,2.749736316
CXD_1604_FDSW210423236-1r,1,3.764997599,2.839478047
CXD_1609_FDSW210423241-1r,1,3.765221366,2.844477176
CXD_1610_FDSW210423242-1r,1,3.761401557,2.833147112
CXD_1611_FDSW210423243-1r,1,3.761401557,2.822821645
CXD_1612_FDSW210423244-1r,1,3.765445018,2.811575006
CXD_1613_FDSW210423245-1r,1,3.758457689,2.835056102
