genus,CXD_0801_FDSW210423161-1r,CXD_0802_FDSW210423162-1r,CXD_0803_FDSW210423163-1r,CXD_0804_FDSW210423164-1r,CXD_0805_FDSW210423165-1r,CXD_0807_FDSW210423167-1r,CXD_1001_FDSW210423173-1r,CXD_1003_FDSW210423175-1r,CXD_1004_FDSW210423176-1r,CXD_1007_FDSW210423179-1r,CXD_1009_FDSW210423181-1r,CXD_1015_FDSW210423187-1r,CXD_1201_FDSW210423188-1r,CXD_1202_FDSW210423189-1r,CXD_1203_FDSW210423190-1r,CXD_1213_FDSW210423200-1r,CXD_1214_FDSW210423201-1r,CXD_1215_FDSW210423202-1r,CXD_0204_FDSW210423206-1r,CXD_0209_FDSW210423211-1r,CXD_0210_FDSW210423212-1r,CXD_0213_FDSW210423215-1r,CXD_0214_FDSW210423216-1r,CXD_0215_FDSW210423217-1r,CXD_1401_FDSW210423218-1r,CXD_1402_FDSW210423219-1r,CXD_1408_FDSW210423225-1r,CXD_1412_FDSW210423229-1r,CXD_1414_FDSW210423231-1r,CXD_1415_FDSW210423232-1r,CXD_1604_FDSW210423236-1r,CXD_1609_FDSW210423241-1r,CXD_1610_FDSW210423242-1r,CXD_1611_FDSW210423243-1r,CXD_1612_FDSW210423244-1r,CXD_1613_FDSW210423245-1r
Abra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.9296777,0,0,0,0,0,0,0
Abrostola,475.0842543,809.0715917,379.7874073,620.5650829,581.6159517,402.7793898,878.666942,1163.790879,579.8065281,531.3876145,660.880076,1022.428495,2110.329021,1470.337961,1620.504831,849.9373809,901.2073094,889.520299,1188.770169,663.2955623,823.0961494,947.2423773,776.8772345,838.5192982,1152.032933,728.1509693,918.2918988,795.3341941,767.0355799,760.9971256,855.036756,758.8767926,462.7651149,541.313633,421.1321686,475.7318471
Acanthaster,14.52857047,16.53979404,9.597515708,24.67455598,24.51776846,37.67001487,28.48920119,39.59968964,39.30891716,24.81755342,65.07571864,110.0668808,32.76445903,39.81858069,20.1787,83.60039813,82.05881252,59.20508484,33.58932909,60.29959657,58.68510023,43.67254204,40.2311425,46.58440545,7.609200351,3.040296323,54.91446571,67.8082439,111.8593554,109.4496712,9.351964519,66.8840563,25.31845613,57.6150649,34.07218193,46.84128956
Acanthisitta,4.35857114,2.75663234,5.484294691,0,1.362098248,5.795386903,10.49602149,4.399965516,1.403889899,4.379568251,7.230635405,9.28274898,5.957174369,14.74762248,6.20883077,3.800018097,5.758513159,4.332079378,4.381216837,4.307114041,3.009492319,6.023798902,2.774561552,4.110388716,9.131040421,3.040296323,12.2032146,5.650686992,7.989953957,15.45171829,6.679974656,5.144927408,25.31845613,21.43816368,13.62887277,20.49306418
Acanthochromis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.552207692,7.600036193,4.318884869,5.776105838,8.762433674,12.92134212,19.56170008,39.15469286,26.35833474,10.96103658,30.4368014,45.60444484,22.88102738,0,0,0,0,0,0,0,0,0
Acanthopagrus,116.2285637,26.18800723,49.35865221,129.5414189,134.8477265,81.13541665,29.98863283,101.1992069,47.73225656,312.4092019,54.95282908,71.60977784,53.61456932,91.43525935,69.84934616,201.4009591,171.3157665,92.4176934,43.81216837,100.4993276,138.4366467,88.8510338,129.0171122,56.17531246,182.6208084,33.44325955,45.76205476,24.01541971,33.29147482,28.32815019,26.71989863,131.1956489,5.626323585,9.379196612,12.26598549,10.24653209
Acartia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.62403135
Accipiter,233.9099845,235.692065,193.3213878,219.6035482,227.4704074,212.9804687,457.3266507,546.6957154,289.2013191,347.4457479,389.0081848,403.1365271,488.4882983,476.348206,667.4493077,530.7358608,472.1980791,443.316123,465.8693904,292.8837548,424.338417,588.8263427,378.7276519,596.0063639,243.4944112,278.1871136,774.9041272,276.8836626,266.3317986,272.9803564,279.2229406,253.3876748,323.5136061,403.3054543,305.2867501,418.6440254
Acentria,90.0771369,96.48213189,191.9503142,101.1656795,107.6057616,104.3169643,122.9533946,124.2990258,92.65673331,106.5694941,69.41409989,133.9368067,107.2291386,101.7585951,221.9657,219.1343769,211.6253586,111.1900374,116.832449,53.12107317,191.1027623,81.32128517,141.5026392,83.5779039,143.0529666,136.8133345,80.84629674,57.91954166,93.2161295,63.09451633,69.47173643,92.60869334,59.07639764,52.25552398,55.87837836,35.13096717
Achnanthidium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.84386173,0,0,0,0,0,0,0,0,0,0,0,0,0
Acipenser,155.455704,315.6344029,93.23300974,320.7692277,153.917102,247.7527901,172.4346388,354.197224,175.4862373,233.5769734,219.8113163,201.5682636,248.7120299,290.5281628,516.8851616,268.5346122,256.2538356,232.48826,243.8877373,334.5191905,192.6075084,237.9400566,187.2829048,228.8116385,229.7978506,173.2968904,300.5041596,194.9487012,282.3117065,341.2254455,239.1430927,185.2173867,296.7885691,239.8394562,237.1423862,238.5978187
Acleris,831.0342308,583.0277399,966.6069393,716.7958512,569.3570675,1351.773995,932.6464811,764.4940084,576.9987483,1791.243415,796.8160217,633.8791446,1533.9724,934.999265,1064.814477,1094.405212,1001.98129,795.6585792,920.0555358,770.9734132,1178.216243,926.1590812,860.1140811,1248.18804,768.5292355,975.9351197,709.3118488,469.0070204,592.5882518,509.9067034,574.4778204,728.0072282,357.2715476,373.8279792,408.8661831,431.8181382
Acoelopelophila,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.4807232
Acomys,2921.695521,1527.174316,822.6442036,1190.547326,687.8596151,760.6445311,1057.099307,800.7937239,676.6749312,854.0158089,976.1357796,660.4012846,1003.783881,968.9187966,1549.103277,839.8039994,934.3187601,752.3377854,858.7185001,1267.727232,756.8873183,692.7368737,618.7272261,841.2595573,1150.511093,1118.829047,1229.473872,387.0720589,474.0706014,592.3158676,1023.372117,1272.083302,371.3373567,345.6903894,332.5444956,297.1494307
Acrobasis,95.88856509,52.37601445,34.27684182,64.15384555,64.01861764,44.9142485,140.9465743,56.09956033,43.52058686,52.55481901,66.52184572,75.58809883,99.78267068,79.63716137,55.87947693,59.53361685,66.22290133,63.53716422,281.8582832,222.5342254,148.9698698,510.5169569,539.6522219,683.6946565,62.39544288,45.60444484,73.21928761,73.45893089,71.90958562,84.98445057,26.71989863,45.01811482,78.76853019,79.05322858,58.60415291,71.72572464
Acrocephalus,110.4171356,148.8581463,61.69831527,162.8520695,140.2961195,118.8054315,110.9579415,108.8991465,112.3111919,153.2848888,185.1042664,128.6323787,129.5685425,125.354791,161.4296,171.0008144,195.7894474,137.1825136,289.1603113,149.3132867,294.9302473,447.2670685,301.0399284,524.7596261,176.5334481,130.7327419,308.1311687,141.2671748,131.8342403,150.6542533,136.271483,138.91304,136.4383469,151.407031,113.119644,174.1910456
Acronicta,411.1585442,472.7624462,675.9393207,382.4556177,281.9543373,439.000558,547.2925492,514.7959654,317.2791171,786.862429,757.7705904,458.833021,731.2431537,498.4696396,752.8207308,668.803185,571.5324311,464.9765199,515.5231812,895.8797204,573.3082868,609.9096387,578.4960836,617.9284369,759.3981951,519.8906712,449.9935384,387.072059,516.6836893,507.331417,382.0945503,388.4420194,649.8403741,560.0720262,520.6229398,478.6594277
Actinia,13.07571342,20.67474255,17.82395774,9.869822392,19.06937547,7.244233629,43.48351761,21.99982758,26.67390808,20.43798517,34.70704994,35.80488892,35.74304621,32.44476945,26.38753077,31.66681747,20.15479606,41.87676732,37.97054592,14.3570468,22.5711924,24.09519561,33.29473862,26.03246187,36.52416169,15.20148161,27.45723285,22.60274797,19.97488489,36.05400933,20.03992397,16.72101408,19.69213255,25.45781937,16.35464732,13.17411269
Adalia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.313246154,0,0,0,14.60405612,2.87140936,24.07593855,25.60114533,23.58377319,13.70129572,38.04600176,44.08429668,48.81285841,4.238015244,0,1.28764319,0,1.286231852,0,1.33988523,0,0
Adineta,17.43428456,35.83622042,24.67932611,27.14201158,34.05245619,57.95386903,67.47442387,26.3997931,32.28946767,51.09496293,53.506702,79.56641982,84.88973476,36.86905619,35.70077693,67.13365304,64.78327304,60.6491113,80.32230868,51.68536849,10.53322312,73.79153655,83.23684656,60.28570117,25.87128119,33.44325955,35.08424198,45.20549593,79.89953957,61.80687314,24.04790876,29.5833326,88.61459647,84.4127695,70.87013841,106.8566918
Aedes,0,0,0,0,0,11.59077381,1.499431642,3.299974137,0,0,44.82993951,0,0,0,0,0,2.87925658,0,0,0,0,0,0,0,0,0,0,14.12671748,2.663317986,1.28764319,0,0,0,0,418.406394,0
Agaricus,87.17142281,82.69897019,21.93717876,49.34911196,36.77665269,15.93731398,25.49033791,34.09973275,23.86612828,5.839424335,31.81479578,41.10931691,67.01821165,36.86905619,51.22285385,51.93358066,82.05881252,40.43274086,97.84717603,136.3919446,75.23730798,207.8210621,205.3175549,157.5649008,235.8852109,273.6266691,115.9305387,19.77740447,11.98493094,21.88993424,12.02395438,18.00724593,28.13161793,26.7977046,19.08042188,20.49306418
Agonopterix,1275.608487,1116.436098,226.227156,890.7514709,788.6548854,210.0827753,1141.067479,1721.486509,463.2836666,296.3507849,1148.224902,1397.716775,2061.182332,1284.517918,1038.426946,872.7374896,1583.591119,1199.985988,1518.821837,818.3516677,684.6595027,864.4151424,916.992593,1431.785403,698.5245922,287.3080025,312.7073741,289.5977083,450.1007396,469.9897646,211.0871992,173.6413,241.9319142,178.2047356,188.0784442,267.8736247
Agriopis,156.9085611,310.1211383,201.5478299,236.8757374,170.262281,175.3104539,158.939754,146.2988534,183.9095767,211.6791321,221.2574433,269.1997204,177.2259375,160.749085,197.1303769,297.6680843,276.4086317,219.4920218,216.1400306,371.8475122,263.3305779,248.4817047,219.1903626,306.9090241,165.8805677,167.2162978,210.5054519,343.2792347,292.9649785,342.5130886,203.0712295,309.9818764,236.3055906,263.9573904,351.6249175,273.7287859
Agriotes,0,0,1.371073673,6.168638995,5.448392991,2.897693452,4.498294925,9.899922411,7.019449493,0,5.784508324,13.26106997,1.489293592,8.848573486,0,16.46674509,11.51702632,7.220132297,8.762433674,7.178523401,13.54271544,16.56544698,6.93640388,17.81168444,0,4.560444484,4.576205476,9.888702235,10.65327194,24.46522062,2.671989863,2.572463704,16.87897076,4.019655691,9.540210939,7.318951494
Agriphila,774.372806,530.6517254,522.3790692,679.7840173,719.1878747,523.033668,757.212979,626.9950861,770.7355544,553.2854557,1068.687913,759.8593093,769.9647872,867.1602016,982.5474693,682.7365847,721.2537732,851.9756111,959.4864874,597.253147,719.2686643,1239.396624,1141.732079,1267.369854,865.927,320.751262,826.7677893,589.0841189,462.0856705,345.088375,383.4305453,447.6086845,296.7885691,316.2129143,275.3032299,272.2649956
Agrochola,188.8714161,195.7208961,322.2023131,156.6834305,202.952639,275.2808779,268.3982638,381.6970085,147.4084394,305.1099214,225.5958247,306.3307164,473.5953624,355.4177017,644.1661924,410.4019545,410.2940626,330.6820592,432.2800612,623.0958312,571.8035407,942.7245281,728.3224074,776.8634674,640.6946696,761.5942289,1389.641062,509.974501,274.3217525,260.1039245,419.5024084,285.5434712,161.7568031,196.9631288,156.7320369,210.785803
Agrotis,45.03856845,84.07728636,30.1636208,66.62130115,85.8121896,113.0100446,124.4528263,262.8979396,98.27229291,103.6497819,193.7810288,147.1978767,87.86832194,94.38478385,88.47583847,146.9340331,172.7553948,151.6227782,175.2486735,117.7277838,91.78951574,275.5887998,357.9184402,319.2401903,818.7499578,3973.667294,118.9813424,211.9007622,145.1508302,213.7487696,981.9562745,83.60507038,212.3937153,221.081063,268.4887936,194.6841097
Ailanthus,724.9756664,558.2180488,436.0014279,477.4526582,163.4517897,246.3039434,209.9204298,192.4984913,129.1578707,290.5113606,247.2877308,115.3713087,177.2259375,178.446232,429.9615308,145.6673604,194.3498191,151.6227782,165.0258342,315.8550296,278.3780395,152.1009223,155.3754469,217.850602,506.7727434,288.8281507,196.7768355,81.93496138,129.1709223,199.5846945,309.9508241,241.8115882,68.92246392,89.77231043,55.87837836,81.97225673
Alaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.451549108,0
Alexandrium,0,0,0,0,0,0,0,0,0,0,0,0,0,1.474762248,0,0,0,0,0,0,0,0,0,0,0,0,3.050803651,0,0,7.725859143,0,0,0,8.039311381,0,0
Alitta,113.3228497,118.5351906,97.34623076,104.8668629,416.8020638,304.2578124,550.2914125,1091.191448,329.9141262,351.8253162,300.7944328,417.7237041,335.0910583,398.1858069,425.3049077,425.6020268,584.4890857,421.6557262,370.9430255,219.6628161,397.2529862,721.3499185,843.4667118,513.7985895,144.5748067,258.4251875,498.8063969,1671.190678,28745.19102,14285.11356,154.975412,236.6666608,635.7745651,763.7345812,648.7343439,544.5299911
Allacma,0,9.648213189,0,0,1.362098248,1.448846726,0,0,0,5.839424335,70.86022697,1.326106997,0,0,9.313246154,2.533345398,4.318884869,2.888052919,0,14.3570468,0,0,0,0,0,0,7.627009126,0,0,0,0,7.717391112,0,0,0,0
Allantophomopsis,24.6985698,50.99769828,10.96858938,37.01183397,12.25888423,34.77232142,56.97840238,34.09973275,30.88557777,42.33582643,30.3686687,47.73985189,89.35761554,39.81858069,37.25298462,57.00027145,43.18884869,54.87300546,43.81216837,28.7140936,37.61865399,37.64874314,33.29473862,27.40259144,39.56784183,38.00370404,77.79549309,40.96748069,34.62313382,30.90343657,30.72788342,42.44565112,15.47238986,29.47747506,20.44330916,17.56548359
Alligator,0,0,0,0,0,0,0,5.499956895,0,13.13870475,10.12288957,0,1.489293592,0,0,3.800018097,0,0,1.460405612,0,0,3.011899451,31.90745785,0,3.04368014,91.20888969,190.6752282,0,0,0,32.06387835,0,0,0,6.814436385,0
Allophyes,460.5556838,210.882374,260.5039978,324.4704111,186.6074599,194.1454613,202.4232716,162.7987241,130.5617606,261.314239,232.82646,181.6766586,269.5621402,207.9414769,360.1121846,323.0015382,298.003056,210.8278631,445.4237118,381.8974449,317.5014397,456.3027668,513.2938871,421.9999082,838.5338787,740.3121546,451.5189403,98.88702235,155.8041022,127.4766759,285.9029153,106.7572437,113.9330526,124.6093264,117.2083058,86.36362763
