species,CXD_0801_FDSW210423161-1r,CXD_0802_FDSW210423162-1r,CXD_0803_FDSW210423163-1r,CXD_0804_FDSW210423164-1r,CXD_0805_FDSW210423165-1r,CXD_0807_FDSW210423167-1r,CXD_1001_FDSW210423173-1r,CXD_1003_FDSW210423175-1r,CXD_1004_FDSW210423176-1r,CXD_1007_FDSW210423179-1r,CXD_1009_FDSW210423181-1r,CXD_1015_FDSW210423187-1r,CXD_1201_FDSW210423188-1r,CXD_1202_FDSW210423189-1r,CXD_1203_FDSW210423190-1r,CXD_1213_FDSW210423200-1r,CXD_1214_FDSW210423201-1r,CXD_1215_FDSW210423202-1r,CXD_0204_FDSW210423206-1r,CXD_0209_FDSW210423211-1r,CXD_0210_FDSW210423212-1r,CXD_0213_FDSW210423215-1r,CXD_0214_FDSW210423216-1r,CXD_0215_FDSW210423217-1r,CXD_1401_FDSW210423218-1r,CXD_1402_FDSW210423219-1r,CXD_1408_FDSW210423225-1r,CXD_1412_FDSW210423229-1r,CXD_1414_FDSW210423231-1r,CXD_1415_FDSW210423232-1r,CXD_1604_FDSW210423236-1r,CXD_1609_FDSW210423241-1r,CXD_1610_FDSW210423242-1r,CXD_1611_FDSW210423243-1r,CXD_1612_FDSW210423244-1r,CXD_1613_FDSW210423245-1r
[Candida] intermedia,0,0,0,0,1.362098248,0,0,0,0,0,0,0,0,4.424286743,0,6.333363495,1.43962829,10.10818522,8.762433674,2.87140936,1.50474616,63.24988847,27.74561552,34.2532393,9.131040421,3.040296323,1.525401825,0,3.994976979,0,0,0,0,0,0,0
[Candida] subhashii,10.16999933,6.891580849,34.27684182,2.467455598,1.362098248,24.63039434,1.499431642,2.199982758,0,40.87597034,7.230635405,3.978320991,4.467880777,5.89904899,10.86545385,1.266672699,4.318884869,4.332079378,1.460405612,10.04993276,1.50474616,7.529748627,0,1.370129572,4.565520211,0,7.627009126,2.825343496,0,1.28764319,2.671989863,21.86594148,0,1.33988523,0,0
Abra nitida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.9296777,0,0,0,0,0,0,0
Abrostola tripartita,184.5128449,304.6078735,139.8495146,229.4733706,106.2436633,98.52157736,158.939754,303.5976206,167.0628979,137.2264719,148.9510893,167.0894816,300.8373056,241.8610086,249.9054385,174.8008324,158.3591119,158.8429105,191.3131352,117.7277838,218.1881932,252.9995539,241.386855,217.850602,136.9656063,152.0148161,208.9800501,144.0925183,117.1859914,139.0654646,243.1510775,186.5036185,82.98827288,128.6289821,117.2083058,114.1756433
Abrostola triplasia,290.5714094,504.4637182,239.9378927,391.0917123,475.3722884,304.2578124,719.727188,860.1932584,412.7436302,394.1611426,511.9289867,855.3390131,1809.491715,1228.476952,1370.599392,675.1365485,742.8481975,730.6773885,997.4570333,545.5677785,604.9079562,694.2428234,535.4903795,620.6686962,1015.067327,576.1361532,709.3118487,651.2416758,649.8495885,621.931661,611.8856785,572.3731741,379.776842,412.6846509,303.9238628,361.5562038
Acanthaster planci,14.52857047,16.53979404,9.597515708,24.67455598,24.51776846,37.67001487,28.48920119,39.59968964,39.30891716,24.81755342,65.07571864,110.0668808,32.76445903,39.81858069,20.1787,83.60039813,82.05881252,59.20508484,33.58932909,60.29959657,58.68510023,43.67254204,40.2311425,46.58440545,7.609200351,3.040296323,54.91446571,67.8082439,111.8593554,109.4496712,9.351964519,66.8840563,25.31845613,57.6150649,34.07218193,46.84128956
Acanthisitta chloris,4.35857114,2.75663234,5.484294691,0,1.362098248,5.795386903,10.49602149,4.399965516,1.403889899,4.379568251,7.230635405,9.28274898,5.957174369,14.74762248,6.20883077,3.800018097,5.758513159,4.332079378,4.381216837,4.307114041,3.009492319,6.023798902,2.774561552,4.110388716,9.131040421,3.040296323,12.2032146,5.650686992,7.989953957,15.45171829,6.679974656,5.144927408,25.31845613,21.43816368,13.62887277,20.49306418
Acanthochromis polyacanthus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.552207692,7.600036193,4.318884869,5.776105838,8.762433674,12.92134212,19.56170008,39.15469286,26.35833474,10.96103658,30.4368014,45.60444484,22.88102738,0,0,0,0,0,0,0,0,0
Acanthopagrus latus,116.2285637,26.18800723,49.35865221,129.5414189,134.8477265,81.13541665,29.98863283,101.1992069,47.73225656,312.4092019,54.95282908,71.60977784,53.61456932,91.43525935,69.84934616,201.4009591,171.3157665,92.4176934,43.81216837,100.4993276,138.4366467,88.8510338,129.0171122,56.17531246,182.6208084,33.44325955,45.76205476,24.01541971,33.29147482,28.32815019,26.71989863,131.1956489,5.626323585,9.379196612,12.26598549,10.24653209
Acartia pacifica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.62403135
