phylum,CXD_0801_FDSW210423161-1r,CXD_0802_FDSW210423162-1r,CXD_0803_FDSW210423163-1r,CXD_0804_FDSW210423164-1r,CXD_0805_FDSW210423165-1r,CXD_0807_FDSW210423167-1r,CXD_1001_FDSW210423173-1r,CXD_1003_FDSW210423175-1r,CXD_1004_FDSW210423176-1r,CXD_1007_FDSW210423179-1r,CXD_1009_FDSW210423181-1r,CXD_1015_FDSW210423187-1r,CXD_1201_FDSW210423188-1r,CXD_1202_FDSW210423189-1r,CXD_1203_FDSW210423190-1r,CXD_1213_FDSW210423200-1r,CXD_1214_FDSW210423201-1r,CXD_1215_FDSW210423202-1r,CXD_0204_FDSW210423206-1r,CXD_0209_FDSW210423211-1r,CXD_0210_FDSW210423212-1r,CXD_0213_FDSW210423215-1r,CXD_0214_FDSW210423216-1r,CXD_0215_FDSW210423217-1r,CXD_1401_FDSW210423218-1r,CXD_1402_FDSW210423219-1r,CXD_1408_FDSW210423225-1r,CXD_1412_FDSW210423229-1r,CXD_1414_FDSW210423231-1r,CXD_1415_FDSW210423232-1r,CXD_1604_FDSW210423236-1r,CXD_1609_FDSW210423241-1r,CXD_1610_FDSW210423242-1r,CXD_1611_FDSW210423243-1r,CXD_1612_FDSW210423244-1r,CXD_1613_FDSW210423245-1r
Annelida,446.0271134,431.4129611,701.9897204,478.686386,824.0694399,1996.510788,1105.08112,2102.083525,665.443812,978.1035761,5574.819897,962.7536799,1175.052644,1001.363566,1184.334469,1199.539046,1455.464201,973.2738337,1016.442306,719.2880448,1006.675181,1805.633721,1875.603609,1422.194496,980.0650053,1167.473788,954.9015426,3463.871126,38287.85936,20268.79146,765.5250955,628.9673756,1409.394058,1449.755819,6597.737309,1217.873529
Apicomplexa,133.6628483,62.02422764,97.34623076,151.7485193,294.2132215,179.656994,155.9408908,96.79924136,151.6201091,97.81035761,186.5503934,246.6559015,131.0578361,204.9919525,142.8031077,162.1341055,463.5603093,168.9510958,401.6115434,513.9822755,925.4188882,929.1709806,1000.22944,1037.188086,686.3498717,319.2311139,906.0886842,695.0345,318.2664993,328.3490135,631.9256025,353.7137593,122.372538,231.8001449,367.9795648,202.0030613
Arthropoda,60389.45601,66120.5833,61345.94933,62757.26568,51451.89921,55350.29147,65166.79858,75032.61194,50260.66226,71662.87529,74880.46025,60628.2858,83518.09536,72881.27551,90352.45757,79430.5116,86380.57665,68485.84289,76662.53222,77963.07125,87385.12373,89652.19906,92857.63874,93564.77835,93259.88134,94126.05401,94021.1923,56937.7348,69147.72486,64789.05477,74588.59701,65105.19765,42902.12392,43571.7278,46210.05602,42711.93713
Ascomycota,1753.598455,2651.880311,1842.723016,2135.58282,2037.698978,1729.922991,2096.205435,2801.678042,2028.620904,1944.528303,2323.926219,2648.235673,2582.435089,2712.087773,2671.349439,3748.084516,3678.250281,3111.87702,3309.279118,2671.84641,4123.004477,4349.182807,4329.703302,4621.447046,3761.988654,2839.636766,3421.476294,2939.769907,2407.639459,2358.962325,2740.125604,2321.648493,1966.400093,2134.437172,2078.403097,1974.653113
Bacillariophyta,1253.815631,737.3991509,1192.834095,941.3343107,2224.306438,1450.295573,7605.117286,13917.09093,2678.621927,2233.579808,3032.528489,3783.383263,19773.35103,16222.38472,21055.69735,21264.90127,22115.56979,11386.14863,10253.5078,8911.41895,13682.65683,38228.53378,36381.43835,28998.79239,29564.78705,23428.52347,22309.00169,5741.097984,3085.453887,2552.108804,4937.837266,1314.528953,3742.911765,3490.401025,2551.324983,4026.887112
Basidiomycota,576.7842476,639.5387027,537.4608796,677.3165617,472.648092,528.8290549,386.8533635,758.9940515,411.3397403,535.7671827,510.4828596,627.2486096,540.613574,550.0863183,822.6700769,928.4710883,1026.454971,691.688674,627.9744133,713.5452261,1197.777943,1097.83735,1069.593478,815.2270954,701.5682724,828.4807481,1044.90025,610.2741951,412.8142878,433.9357552,749.4931564,878.496355,399.4689746,428.7632737,396.6001976,421.571606
Brachiopoda,0,0,0,1.233727799,0,1.448846726,14.99431642,38.49969826,16.84667878,16.05841692,15.90739789,15.91328396,13.40364233,10.32333573,18.62649231,83.60039813,63.34364475,36.10066149,2.920811225,1.43570468,49.65662327,30.11899451,19.42193086,50.69479417,9.131040421,6.080592646,10.67781278,2.825343496,0,0,0,0,1.406580896,0,4.088661831,0
Bryozoa,59.56713892,64.78085998,31.53469447,43.18047297,91.26058259,97.07273064,187.4289552,332.1973965,109.5034121,100.7300698,174.9813768,119.3496297,172.7580567,134.2033645,164.5340154,191.2675775,135.3250592,116.9661432,197.1547577,216.7914067,133.9224082,88.85103379,110.9824621,128.7921798,120.2253656,188.4983721,271.5215249,42.38015243,78.56788058,185.4206194,542.4139421,104.18478,123.7791189,97.81162181,85.86189845,92.21878882
Cercozoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.13374353,112.2910066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chlorophyta,518.6699657,456.2226522,303.0072817,416.9999961,471.2859937,297.0135788,580.2800454,532.3958274,367.8191534,211.6791321,303.686687,297.0479673,525.7206381,474.8734437,429.9615308,276.1346484,264.8916053,421.6557261,401.6115434,279.9624126,233.2356548,420.1599734,398.1495827,593.2661047,529.6003445,343.5534845,356.9440271,241.5668689,245.0252547,249.8027789,328.6547531,268.8224571,372.7439375,411.3447657,387.0599867,361.5562038
