	M1	M2	M3	M4	M5	M6	M7	M8	M9	M10	M11	M12	M13	M14	M15	M16	M17	M18	M19	M20	M21	M22	M23	M24	M25	M26	M27	M28	M29	M30	M31	M32	M33	M34	M35	M36
M1	0	0.231459975	0.283481267	0.185033796	0.235724244	0.276163373	0.298336943	0.401630711	0.269971119	0.327518815	0.363696392	0.347689564	0.37413191	0.35492892	0.369785959	0.42665175	0.42386216	0.352991526	0.357643418	0.4029771	0.418763877	0.49695537	0.51573121	0.467380498	0.418805296	0.418226842	0.446989226	0.407664257	0.481776356	0.448007738	0.329081294	0.334934833	0.406268576	0.390729769	0.452106613	0.394161335
M2	0.231459975	0	0.286607026	0.144380687	0.258282537	0.265047125	0.279586173	0.385035914	0.258199349	0.287552681	0.289796277	0.288097172	0.334917389	0.308872884	0.331077954	0.354637485	0.365154697	0.303380237	0.299355583	0.325209672	0.356131895	0.45520235	0.48372233	0.421115495	0.400394762	0.409905836	0.38184017	0.386199198	0.433233112	0.397108974	0.295795965	0.25409504	0.39540822	0.376612232	0.444015402	0.389472683
M3	0.283481267	0.286607026	0	0.237027284	0.286115785	0.221373227	0.35771932	0.443105762	0.270591661	0.248056425	0.364106967	0.360579571	0.424530236	0.38964377	0.386237092	0.419797414	0.427352742	0.359006787	0.378283509	0.385099797	0.402812623	0.502701111	0.518093092	0.483318472	0.435613487	0.424239273	0.443772596	0.415167697	0.48764177	0.453519875	0.354279435	0.297078273	0.410718749	0.395611339	0.4549071	0.399331971
M4	0.185033796	0.144380687	0.237027284	0	0.204268883	0.228559943	0.269864127	0.370988316	0.219978199	0.2677959	0.292595701	0.28857664	0.339298839	0.305886283	0.328513977	0.362216033	0.3651008	0.296148781	0.298399159	0.332064803	0.349051942	0.454170203	0.478772326	0.42244974	0.384750585	0.381562216	0.380699052	0.373774907	0.438526723	0.400372331	0.280873084	0.247615129	0.394132582	0.372974464	0.434376014	0.38657823
M5	0.235724244	0.258282537	0.286115785	0.204268883	0	0.211743332	0.235304315	0.325127664	0.140165377	0.277111087	0.290716293	0.229620346	0.336500097	0.28228496	0.357404209	0.34609494	0.349650243	0.253616872	0.280494476	0.32307272	0.3525418	0.430158072	0.448915968	0.410462534	0.415729772	0.385084174	0.39680614	0.288768634	0.391175313	0.361781606	0.2939743	0.276878549	0.293937713	0.268231866	0.36215221	0.279941031
M6	0.276163373	0.265047125	0.221373227	0.228559943	0.211743332	0	0.285450487	0.359902945	0.191609859	0.191222698	0.266168944	0.268526804	0.37239041	0.32135657	0.36751001	0.365557506	0.374193927	0.295813648	0.317140736	0.322650093	0.360920273	0.461625783	0.475685171	0.442233023	0.430158567	0.41584759	0.394178425	0.32928717	0.421587283	0.38671412	0.329412595	0.223450413	0.337266294	0.310252527	0.37143929	0.316778781
M7	0.298336943	0.279586173	0.35771932	0.269864127	0.235304315	0.285450487	0	0.21886925	0.213393934	0.286427448	0.271004569	0.24296067	0.206265654	0.174868557	0.263200897	0.280506555	0.276571797	0.195842913	0.204216343	0.304807729	0.328457476	0.381122205	0.40294053	0.336205643	0.372382557	0.36582042	0.341033229	0.334753313	0.413443891	0.385477122	0.310118353	0.322837711	0.341611544	0.317864873	0.400724502	0.327233075
M8	0.401630711	0.385035914	0.443105762	0.370988316	0.325127664	0.359902945	0.21886925	0	0.304735052	0.356402547	0.326671884	0.306576407	0.253674492	0.219440738	0.279815183	0.279475064	0.271036557	0.24660287	0.268459321	0.349352195	0.313870884	0.352482552	0.360671297	0.329684922	0.404845577	0.37392138	0.34599763	0.354876176	0.439608926	0.417515353	0.363394369	0.394798139	0.393020533	0.370906244	0.434004977	0.376608603
M9	0.269971119	0.258199349	0.270591661	0.219978199	0.140165377	0.191609859	0.213393934	0.304735052	0	0.252192439	0.25312416	0.209360954	0.328413684	0.260674894	0.348630119	0.32778107	0.342176773	0.233293067	0.266804662	0.301681044	0.340357394	0.427025633	0.446345422	0.407257627	0.42541229	0.398727987	0.386779165	0.291503405	0.387485418	0.356363842	0.303124974	0.251151567	0.281969297	0.257329938	0.351219695	0.266031503
M10	0.327518815	0.287552681	0.248056425	0.2677959	0.277111087	0.191222698	0.286427448	0.356402547	0.252192439	0	0.275914433	0.285427684	0.352867684	0.317694033	0.333786048	0.346424797	0.35052536	0.287939035	0.310896754	0.301011275	0.341144775	0.428643138	0.445219258	0.411434488	0.412793083	0.40961423	0.372224253	0.361954391	0.43037775	0.402357213	0.338241764	0.244112764	0.378367993	0.356717737	0.421668018	0.361532196
M11	0.363696392	0.289796277	0.364106967	0.292595701	0.290716293	0.266168944	0.271004569	0.326671884	0.25312416	0.275914433	0	0.223676161	0.331396562	0.287140316	0.350254004	0.292573677	0.298090054	0.237799443	0.269649131	0.259355386	0.314188983	0.416685426	0.435759936	0.370038018	0.442344797	0.438015174	0.370679872	0.347794319	0.394645666	0.362092005	0.353735786	0.277056507	0.376357679	0.353656141	0.371444534	0.365755973
M12	0.347689564	0.288097172	0.360579571	0.28857664	0.229620346	0.268526804	0.24296067	0.306576407	0.209360954	0.285427684	0.223676161	0	0.325151021	0.261524759	0.351846456	0.236730343	0.259187077	0.198255895	0.253726165	0.278062791	0.304210868	0.38046517	0.407337477	0.356180242	0.438396089	0.430859494	0.368052061	0.244130202	0.313066459	0.280254352	0.337872468	0.269980565	0.271382191	0.244147935	0.340892951	0.261532842
M13	0.37413191	0.334917389	0.424530236	0.339298839	0.336500097	0.37239041	0.206265654	0.253674492	0.328413684	0.352867684	0.331396562	0.325151021	0	0.142540773	0.211329856	0.259311773	0.235646474	0.22306772	0.210639954	0.329125748	0.322454133	0.354644568	0.384163142	0.30937703	0.342651854	0.357944892	0.334345182	0.410900262	0.459541124	0.438420725	0.349224917	0.377412209	0.446447026	0.428925525	0.485567148	0.435133184
M14	0.35492892	0.308872884	0.38964377	0.305886283	0.28228496	0.32135657	0.174868557	0.219440738	0.260674894	0.317694033	0.287140316	0.261524759	0.142540773	0	0.175154283	0.221259774	0.20062179	0.156965511	0.178980995	0.288913155	0.290442111	0.339321214	0.368925673	0.299691564	0.356306853	0.349017616	0.309443635	0.3577854	0.423009573	0.40106536	0.321074022	0.3299377	0.393750648	0.372532289	0.444220374	0.382430414
M15	0.369785959	0.331077954	0.386237092	0.328513977	0.357404209	0.36751001	0.263200897	0.279815183	0.348630119	0.333786048	0.350254004	0.351846456	0.211329856	0.175154283	0	0.255413084	0.244732519	0.253488864	0.251348713	0.339520926	0.310205881	0.353752988	0.38044529	0.324841466	0.308191982	0.342163579	0.313992186	0.423570562	0.473117372	0.454004227	0.342495393	0.365054169	0.467417942	0.450165096	0.505965157	0.460454866
M16	0.42665175	0.354637485	0.419797414	0.362216033	0.34609494	0.365557506	0.280506555	0.279475064	0.32778107	0.346424797	0.292573677	0.236730343	0.259311773	0.221259774	0.255413084	0	0.108912681	0.181484193	0.237742132	0.279316845	0.213899746	0.270540247	0.30303466	0.25321397	0.388190495	0.368160234	0.304192353	0.347561889	0.387240067	0.354402494	0.366240572	0.344741685	0.396325616	0.376157779	0.445276705	0.3904908
M17	0.42386216	0.365154697	0.427352742	0.3651008	0.349650243	0.374193927	0.276571797	0.271036557	0.342176773	0.35052536	0.298090054	0.259187077	0.235646474	0.20062179	0.244732519	0.108912681	0	0.178378746	0.223690817	0.27974744	0.210614619	0.263410647	0.29368261	0.230323611	0.38491926	0.36652198	0.289934148	0.349853353	0.403028642	0.373534378	0.372583747	0.348188353	0.424375863	0.402154911	0.461496296	0.415944052
M18	0.352991526	0.303380237	0.359006787	0.296148781	0.253616872	0.295813648	0.195842913	0.24660287	0.233293067	0.287939035	0.237799443	0.198255895	0.22306772	0.156965511	0.253488864	0.181484193	0.178378746	0	0.187428024	0.245911036	0.246903899	0.307563375	0.340318096	0.280822996	0.392189806	0.367811755	0.309217653	0.297965433	0.378668287	0.351827008	0.32762092	0.299083464	0.353083959	0.324872652	0.403969981	0.333863675
M19	0.357643418	0.299355583	0.378283509	0.298399159	0.280494476	0.317140736	0.204216343	0.268459321	0.266804662	0.310896754	0.269649131	0.253726165	0.210639954	0.178980995	0.251348713	0.237742132	0.223690817	0.187428024	0	0.238330142	0.234726325	0.276057942	0.320452061	0.221380141	0.312501166	0.308026072	0.265980126	0.347858343	0.410798145	0.380231312	0.317381728	0.310667454	0.388123807	0.369828543	0.439166456	0.377718561
M20	0.4029771	0.325209672	0.385099797	0.332064803	0.32307272	0.322650093	0.304807729	0.349352195	0.301681044	0.301011275	0.259355386	0.278062791	0.329125748	0.288913155	0.339520926	0.279316845	0.27974744	0.245911036	0.238330142	0	0.246595054	0.334874973	0.35836321	0.306608562	0.399052757	0.383332564	0.276257799	0.333333244	0.420034182	0.390006304	0.355630225	0.26372412	0.404925977	0.388485544	0.45103205	0.3961904
M21	0.418763877	0.356131895	0.402812623	0.349051942	0.3525418	0.360920273	0.328457476	0.313870884	0.340357394	0.341144775	0.314188983	0.304210868	0.322454133	0.290442111	0.310205881	0.213899746	0.210614619	0.246903899	0.234726325	0.246595054	0	0.253433097	0.292941772	0.23676805	0.369168108	0.345323219	0.264337269	0.36082317	0.433725612	0.405755348	0.357826705	0.313955804	0.448021655	0.427210118	0.479410368	0.434675518
M22	0.49695537	0.45520235	0.502701111	0.454170203	0.430158072	0.461625783	0.381122205	0.352482552	0.427025633	0.428643138	0.416685426	0.38046517	0.354644568	0.339321214	0.353752988	0.270540247	0.263410647	0.307563375	0.276057942	0.334874973	0.253433097	0	0.139364346	0.155206195	0.338910444	0.329926423	0.28148347	0.396378481	0.474212177	0.456863156	0.44232321	0.440622959	0.475729972	0.453640217	0.508877034	0.46695079
M23	0.51573121	0.48372233	0.518093092	0.478772326	0.448915968	0.475685171	0.40294053	0.360671297	0.446345422	0.445219258	0.435759936	0.407337477	0.384163142	0.368925673	0.38044529	0.30303466	0.29368261	0.340318096	0.320452061	0.35836321	0.292941772	0.139364346	0	0.221995386	0.374883757	0.350139768	0.330161432	0.386503385	0.476624387	0.451933317	0.406685905	0.464294617	0.480377794	0.455093606	0.496134465	0.473022054
M24	0.467380498	0.421115495	0.483318472	0.42244974	0.410462534	0.442233023	0.336205643	0.329684922	0.407257627	0.411434488	0.370038018	0.356180242	0.30937703	0.299691564	0.324841466	0.25321397	0.230323611	0.280822996	0.221380141	0.306608562	0.23676805	0.155206195	0.221995386	0	0.298139176	0.319106204	0.259749415	0.400328334	0.46286264	0.441635994	0.416878846	0.414077855	0.47813287	0.459459468	0.507340632	0.467898365
M25	0.418805296	0.400394762	0.435613487	0.384750585	0.415729772	0.430158567	0.372382557	0.404845577	0.42541229	0.412793083	0.442344797	0.438396089	0.342651854	0.356306853	0.308191982	0.388190495	0.38491926	0.392189806	0.312501166	0.399052757	0.369168108	0.338910444	0.374883757	0.298139176	0	0.223423304	0.324843638	0.479849169	0.53684441	0.519322257	0.385044156	0.42012113	0.52491945	0.509309243	0.544888997	0.517794961
M26	0.418226842	0.409905836	0.424239273	0.381562216	0.385084174	0.41584759	0.36582042	0.37392138	0.398727987	0.40961423	0.438015174	0.430859494	0.357944892	0.349017616	0.342163579	0.368160234	0.36652198	0.367811755	0.308026072	0.383332564	0.345323219	0.329926423	0.350139768	0.319106204	0.223423304	0	0.29415112	0.456517318	0.520499845	0.499025019	0.312358462	0.428787233	0.490983779	0.478678609	0.522611051	0.484854441
M27	0.446989226	0.38184017	0.443772596	0.380699052	0.39680614	0.394178425	0.341033229	0.34599763	0.386779165	0.372224253	0.370679872	0.368052061	0.334345182	0.309443635	0.313992186	0.304192353	0.289934148	0.309217653	0.265980126	0.276257799	0.264337269	0.28148347	0.330161432	0.259749415	0.324843638	0.29415112	0	0.406961448	0.484289724	0.465224495	0.381178805	0.321735911	0.475660366	0.456411399	0.511745314	0.466170325
M28	0.407664257	0.386199198	0.415167697	0.373774907	0.288768634	0.32928717	0.334753313	0.354876176	0.291503405	0.361954391	0.347794319	0.244130202	0.410900262	0.3577854	0.423570562	0.347561889	0.349853353	0.297965433	0.347858343	0.333333244	0.36082317	0.396378481	0.386503385	0.400328334	0.479849169	0.456517318	0.406961448	0	0.333092258	0.262839334	0.362648979	0.332168092	0.275752961	0.241518586	0.310579241	0.255333523
M29	0.481776356	0.433233112	0.48764177	0.438526723	0.391175313	0.421587283	0.413443891	0.439608926	0.387485418	0.43037775	0.394645666	0.313066459	0.459541124	0.423009573	0.473117372	0.387240067	0.403028642	0.378668287	0.410798145	0.420034182	0.433725612	0.474212177	0.476624387	0.46286264	0.53684441	0.520499845	0.484289724	0.333092258	0	0.183623625	0.445659879	0.418107601	0.39647517	0.376712809	0.434622169	0.398535972
M30	0.448007738	0.397108974	0.453519875	0.400372331	0.361781606	0.38671412	0.385477122	0.417515353	0.356363842	0.402357213	0.362092005	0.280254352	0.438420725	0.40106536	0.454004227	0.354402494	0.373534378	0.351827008	0.380231312	0.390006304	0.405755348	0.456863156	0.451933317	0.441635994	0.519322257	0.499025019	0.465224495	0.262839334	0.183623625	0	0.397012287	0.382508427	0.347163182	0.333866119	0.372750372	0.357194863
M31	0.329081294	0.295795965	0.354279435	0.280873084	0.2939743	0.329412595	0.310118353	0.363394369	0.303124974	0.338241764	0.353735786	0.337872468	0.349224917	0.321074022	0.342495393	0.366240572	0.372583747	0.32762092	0.317381728	0.355630225	0.357826705	0.44232321	0.406685905	0.416878846	0.385044156	0.312358462	0.381178805	0.362648979	0.445659879	0.397012287	0	0.328432827	0.405197222	0.38805308	0.425286475	0.40414618
M32	0.334934833	0.25409504	0.297078273	0.247615129	0.276878549	0.223450413	0.322837711	0.394798139	0.251151567	0.244112764	0.277056507	0.269980565	0.377412209	0.3299377	0.365054169	0.344741685	0.348188353	0.299083464	0.310667454	0.26372412	0.313955804	0.440622959	0.464294617	0.414077855	0.42012113	0.428787233	0.321735911	0.332168092	0.418107601	0.382508427	0.328432827	0	0.375689503	0.347676367	0.4066968	0.365525865
M33	0.406268576	0.39540822	0.410718749	0.394132582	0.293937713	0.337266294	0.341611544	0.393020533	0.281969297	0.378367993	0.376357679	0.271382191	0.446447026	0.393750648	0.467417942	0.396325616	0.424375863	0.353083959	0.388123807	0.404925977	0.448021655	0.475729972	0.480377794	0.47813287	0.52491945	0.490983779	0.475660366	0.275752961	0.39647517	0.347163182	0.405197222	0.375689503	0	0.110304658	0.241522884	0.129269255
M34	0.390729769	0.376612232	0.395611339	0.372974464	0.268231866	0.310252527	0.317864873	0.370906244	0.257329938	0.356717737	0.353656141	0.244147935	0.428925525	0.372532289	0.450165096	0.376157779	0.402154911	0.324872652	0.369828543	0.388485544	0.427210118	0.453640217	0.455093606	0.459459468	0.509309243	0.478678609	0.456411399	0.241518586	0.376712809	0.333866119	0.38805308	0.347676367	0.110304658	0	0.224210019	0.120245797
M35	0.452106613	0.444015402	0.4549071	0.434376014	0.36215221	0.37143929	0.400724502	0.434004977	0.351219695	0.421668018	0.371444534	0.340892951	0.485567148	0.444220374	0.505965157	0.445276705	0.461496296	0.403969981	0.439166456	0.45103205	0.479410368	0.508877034	0.496134465	0.507340632	0.544888997	0.522611051	0.511745314	0.310579241	0.434622169	0.372750372	0.425286475	0.4066968	0.241522884	0.224210019	0	0.255272633
M36	0.394161335	0.389472683	0.399331971	0.38657823	0.279941031	0.316778781	0.327233075	0.376608603	0.266031503	0.361532196	0.365755973	0.261532842	0.435133184	0.382430414	0.460454866	0.3904908	0.415944052	0.333863675	0.377718561	0.3961904	0.434675518	0.46695079	0.473022054	0.467898365	0.517794961	0.484854441	0.466170325	0.255333523	0.398535972	0.357194863	0.40414618	0.365525865	0.129269255	0.120245797	0.255272633	0
