samples	group
M1	Metagenome
M2	Metagenome
M3	Metagenome
M4	Metagenome
M5	Metagenome
M6	Metagenome
M7	Metagenome
M8	Metagenome
M9	Metagenome
M10	Metagenome
M11	Metagenome
M12	Metagenome
M13	Metagenome
M14	Metagenome
M15	Metagenome
M16	Metagenome
M17	Metagenome
M18	Metagenome
M19	Metagenome
M20	Metagenome
M21	Metagenome
M22	Metagenome
M23	Metagenome
M24	Metagenome
M25	Metagenome
M26	Metagenome
M27	Metagenome
M28	Metagenome
M29	Metagenome
M30	Metagenome
M31	Metagenome
M32	Metagenome
M33	Metagenome
M34	Metagenome
M35	Metagenome
M36	Metagenome
A1	Amplicon
A2	Amplicon
A3	Amplicon
A4	Amplicon
A5	Amplicon
A6	Amplicon
A7	Amplicon
A8	Amplicon
A9	Amplicon
A10	Amplicon
A11	Amplicon
A12	Amplicon
A13	Amplicon
A14	Amplicon
A15	Amplicon
A16	Amplicon
A17	Amplicon
A18	Amplicon
A19	Amplicon
A20	Amplicon
A21	Amplicon
A22	Amplicon
A23	Amplicon
A24	Amplicon
A25	Amplicon
A26	Amplicon
A27	Amplicon
A28	Amplicon
A29	Amplicon
A30	Amplicon
A31	Amplicon
A32	Amplicon
A33	Amplicon
A34	Amplicon
A35	Amplicon
A36	Amplicon
