samples	pielou
M1	0.855457323
M2	0.869709443
M3	0.857793315
M4	0.870028757
M5	0.871390156
M6	0.870439175
M7	0.854432086
M8	0.843965003
M9	0.870305515
M10	0.862718204
M11	0.849205457
M12	0.869393648
M13	0.838993346
M14	0.847781465
M15	0.846550317
M16	0.845162167
M17	0.841113534
M18	0.856397589
M19	0.849037324
M20	0.843950276
M21	0.848420624
M22	0.815978366
M23	0.820213016
M24	0.832348146
M25	0.808141921
M26	0.804538832
M27	0.827757457
M28	0.866161306
M29	0.758015403
M30	0.814413097
M31	0.863084213
M32	0.865684763
M33	0.869993725
M34	0.8728564
M35	0.837204806
M36	0.870398579
A1	0.847956761
A2	0.85285666
A3	0.812332925
A4	0.81356756
A5	0.794593452
A6	0.743346488
A7	0.78687955
A8	0.683317152
A9	0.725819098
A10	0.798346222
A11	0.626581904
A12	0.840846267
A13	0.72567499
A14	0.697478868
A15	0.716220981
A16	0.603871268
A17	0.64673179
A18	0.669885728
A19	0.649613301
A20	0.582576366
A21	0.446434225
A22	0.508974124
A23	0.642047673
A24	0.587087439
A25	0.602175983
A26	0.524812449
A27	0.564425086
A28	0.727819956
A29	0.8045361
A30	0.881137144
A31	0.575388176
A32	0.813227467
A33	0.813883057
A34	0.877711412
A35	0.797800526
A36	0.773175826
