Group,NST
Aug,0.504235108
Aug,0.32419697
Aug,0.46160303
Aug,0.435768034
Aug,0.32505736
Aug,0.486762661
Oct,0.730829926
Oct,0.613427063
Oct,0.538900246
Oct,0.426411591
Oct,0.312950389
Oct,0.36492621
Dec,0.56796075
Dec,0.444922519
Dec,0.327562594
Dec,0.489984393
Dec,0.909983194
Dec,0.335108167
Feb,0.391993694
Feb,0.460393224
Feb,0.802285052
Feb,0.325694276
Feb,0.223835693
Feb,0.495741976
April,0.791073896
April,0.932247889
April,0.790375381
April,0.415329883
April,0.415971585
April,0.657546976
June,0.812239628
June,0.436102178
June,0.325815468
June,0.329649304
June,0.707362192
June,0.799371195
12,0.399071163
12,0.583093896
12,0.659316053
12,0.404242353
12,0.318011534
12,0.723547389
12,0.758032625
12,0.701734046
12,0.897890121
14,0.389833863
14,0.495031465
14,0.618351436
14,0.564457432
14,0.822384883
14,0.492499248
14,0.523230606
14,0.516103645
14,0.607203871
14,0.477039281
14,0.446214144
14,0.55822641
14,0.523949241
14,0.488701283
14,0.33476785
16,0.461005672
16,0.246078885
16,0.615014931
16,0.271020598
16,0.406624649
16,0.31217824
16,0.580643505
16,0.231891324
16,0.363715452
16,0.702260477
16,0.278053423
16,0.431413261
16,0.725564558
16,0.736197618
16,0.883274888
18,0.383438134
18,0.659436227
18,0.669240984
18,0.419529418
18,0.660539017
18,0.541741035
18,0.563215736
18,0.292680727
18,0.555934231
18,0.979832339
18,0.661664003
18,0.970162827
18,0.677755135
18,0.9754799
18,0.620629355
